numPhotons,numUp,numDown,
47936,2900,3070,
49552,3153,2953,
49289,3022,3210,
49942,3124,3153,
50116,3109,3230,
49742,3244,3042,
49561,3180,3047,
49758,2988,3375,
49167,3148,3031,
50219,3243,3142,
49379,3186,2908,
49638,3270,3034,
49871,3332,2986,
49745,3219,3116,
49690,2856,3330,
49812,2929,3314,
49934,3252,3088,
49518,3147,3060,
49516,3124,3097,
49686,2983,3266,
49653,3216,3085,
50087,3213,3116,
49986,3342,2983,
49644,3149,3105,
49884,3002,3349,
49584,3030,3172,
49391,3122,3094,
49719,3141,3095,
49870,3238,3047,
49908,3102,3251,
49567,3080,3169,
49699,2977,3246,
49922,3034,3242,
50116,2953,3269,
50144,3296,3150,
49619,3187,3097,
49353,3089,3053,
49624,3031,3162,
50153,2941,3343,
49046,3062,3039,
49748,3228,3115,
49258,3043,3149,
50207,3253,3107,
49390,3207,3004,
50131,3049,3216,
49840,3102,3164,
49539,3104,3001,
50037,2984,3359,
49993,3174,3093,
50142,3239,3069,
49714,3084,3116,
50196,3086,3181,
41232,2455,2527,
49302,3207,3102,
49684,3227,3049,
50204,3030,3333,
50018,3263,3033,
