energy,time,theta,phi,xpos,ypos,zpos,
9.69277,282.196,2.17046,2.26907,0.0016777,-0.000115694,0.000125576,
9.69186,550.734,2.91992,1.30372,8.87093e-05,-6.11736e-06,6.6399e-06,
9.69261,924.311,1.61425,0.1498,0.000650577,-4.48636e-05,4.86958e-05,
9.69254,48.2389,0.544537,0.676421,0.00120884,-8.33614e-05,9.0482e-05,
9.69113,78.8063,0.74828,2.00037,0.00294736,-0.000203249,0.00022061,
9.69283,388.413,1.98903,2.25135,0.00129491,-8.92966e-05,9.69241e-05,
9.69287,1639.68,2.18205,1.69139,0.00179376,-0.000123697,0.000134263,
9.69171,2895.11,0.233173,1.03774,0.00196827,-0.000135731,0.000147325,
9.69145,3340.62,1.00864,1.78075,0.00137961,-9.51372e-05,0.000103264,
9.6929,353.52,1.83584,0.430171,0.00239614,-0.000165237,0.000179351,
9.69121,3692.72,1.75149,1.84153,0.000103422,-7.13197e-06,7.74117e-06,
9.69137,412.768,0.936283,2.10067,0.000819798,-5.6533e-05,6.1362e-05,
9.69133,1047.07,2.61609,0.534426,0.00176099,-0.000121437,0.00013181,
9.69293,1781.8,0.697343,1.23426,0.00294521,-0.000203101,0.000220449,
9.69171,739.044,1.78021,2.04543,0.00268218,-0.000184962,0.000200761,
9.69216,2708.7,0.935488,2.12655,0.00155605,-0.000107305,0.000116471,
9.69264,756.196,0.399576,0.222038,2.00666e-05,-1.38379e-06,1.50199e-06,
9.69284,1428.12,0.861128,0.847676,0.00154276,-0.000106388,0.000115476,
9.69158,163.938,2.63247,1.39406,0.00117745,-8.11968e-05,8.81324e-05,
9.6913,77.7135,1.67169,0.6121,0.000978701,-6.74909e-05,7.32559e-05,
9.69212,262.311,0.528499,0.400402,0.000815661,-5.62477e-05,6.10523e-05,
9.69285,352.372,1.53299,2.42406,0.00199282,-0.000137424,0.000149163,
9.69199,1619.39,1.78042,2.67494,0.00219233,-0.000151182,0.000164096,
9.69236,1518.35,2.50722,2.38887,0.000856921,-5.9093e-05,6.41406e-05,
9.69279,406.713,2.33978,2.04626,0.000412972,-2.84784e-05,3.0911e-05,
9.6923,6150.74,2.44123,1.93399,0.00273019,-0.000188273,0.000204355,
9.69244,189.949,2.41198,2.34871,0.00294514,-0.000203096,0.000220444,
9.6927,295.516,1.89244,1.28104,0.00231994,-0.000159982,0.000173648,
9.69183,2081.71,1.79174,0.600671,0.00198679,-0.000137009,0.000148712,
9.69145,2892.49,2.03491,0.631788,0.00305265,-0.00021051,0.000228491,
