energy,time,theta,phi,xpos,ypos,zpos,
9.69153,1834.91,0.740348,0.034054,0.0210036,0.00767035,0.00346337,
9.69237,305.589,1.58411,0.573534,0.0210763,0.00769695,0.00347539,
9.69179,30.416,1.12046,1.87489,0.031013,0.0113358,0.00511842,
9.69216,2755.48,2.7168,1.74142,0.0161312,0.00588604,0.00265771,
9.69174,213.533,1.62578,1.9423,0.0242008,0.00884117,0.00399203,
9.69259,2589.13,2.56909,2.58461,0.00309396,0.00111175,0.000501986,
9.69266,2167.35,0.779732,0.319194,0.00446873,0.0016152,0.000729306,
9.69195,1854.13,1.17102,1.34044,0.00295958,0.00106254,0.000479766,
9.69289,1165.65,1.8227,0.343477,0.00856121,0.00311388,0.001406,
9.691,1125.26,1.32304,0.364425,0.0126204,0.00460038,0.0020772,
9.69114,2109.53,0.256444,0.229826,0.0149113,0.0054393,0.00245599,
9.69153,819.936,1.09871,2.08557,0.0117809,0.00429293,0.00193837,
9.6918,48.959,1.04471,2.52109,0.0226023,0.00825578,0.00372771,
9.69229,297.396,0.859847,0.778698,0.0154789,0.00564715,0.00254984,
9.69296,662.62,0.627365,0.727313,0.00658547,0.00239036,0.00107931,
9.69182,2535.26,1.2623,0.852083,0.00422572,0.00152621,0.000689124,
9.69101,1629.07,2.37967,1.8212,0.00968196,0.0035243,0.00159132,
9.69164,1814.54,2.28245,1.65469,0.0186514,0.00680895,0.00307443,
9.69106,1927.24,0.590463,1.90227,0.025721,0.00939787,0.00424339,
9.69192,292.391,2.14267,0.349578,0.022954,0.00838457,0.00378586,
9.69174,86.2606,1.42316,1.50649,0.00177258,0.000627857,0.000283494,
9.69217,43.5878,0.755674,1.74378,0.0011001,0.000381591,0.000172299,
9.69233,517.876,1.30358,1.74295,0.00477476,0.00172727,0.000779909,
9.69138,680.749,1.80459,0.234539,0.00909475,0.00330926,0.00149422,
9.69266,830.423,2.39528,2.33016,0.000885846,0.00030313,0.000136871,
9.69111,1723.27,0.87654,0.88108,0.0127085,0.00463262,0.00209176,
9.69257,131.696,2.59839,2.44141,0.0286889,0.0104847,0.00473414,
9.69176,1225.39,2.06533,0.103875,0.0159972,0.00583697,0.00263555,
9.69288,1144.72,2.34609,1.5455,0.0277079,0.0101255,0.00457194,
9.69144,3239.73,2.50827,1.00999,0.0271515,0.00992171,0.00447992,
9.6917,1974.47,0.194937,1.74313,0.0195904,0.00715282,0.00322969,
9.69148,1064.99,1.60172,0.946652,0.0198498,0.00724783,0.00327259,
9.69194,4632,2.41911,2.87093,0.0160582,0.0058593,0.00264563,
9.6927,646.456,1.29512,1.82008,0.0101103,0.00368115,0.00166214,
9.69112,779.483,2.25522,1.46917,0.0187407,0.00684165,0.00308919,
9.69242,563.497,1.36521,1.48356,0.0114693,0.00417884,0.00188686,
9.69167,2146.07,0.481923,0.0588263,0.0190002,0.00693667,0.0031321,
9.69112,2208.31,1.62264,0.31988,0.0311225,0.0113759,0.00513654,
9.69103,958.819,0.626804,0.239431,0.0239302,0.00874209,0.00394729,
9.69132,869.196,2.60444,0.215993,0.0193282,0.00705678,0.00318633,
9.69155,1032,1.79364,2.54473,0.0244982,0.00895008,0.00404121,
9.69201,87.9549,1.87292,2.501,0.025135,0.00918326,0.00414649,
9.69223,1276.83,2.16145,0.0782603,0.0114868,0.00418524,0.00188975,
9.69166,989.836,0.524738,1.08552,0.0151203,0.00551585,0.00249056,
