distanceDiff,timeDiff,
5.53913,2.53784,
4.52763,2.07494,
14.6118,6.72325,
23.8907,10.9459,
27.1215,12.5809,
2.72424,1.26503,
48.6671,23.6229,
13.7285,6.69256,
18.8701,9.21568,
3.17716,1.45567,
4.31699,1.98671,
6.315,2.98192,
5.45993,2.61623,
4.68076,2.26352,
0.620923,0.305667,
1.25093,0.641765,
0.721371,0.387909,
43.7146,20.0285,
6.3808,2.93542,
9.22754,4.44966,
12.8959,6.4948,
27.0364,14.3041,
9.13804,5.07776,
7.17018,4.04725,
43.9106,24.8217,
24.9113,14.0941,
3.07729,1.74431,
4.94116,2.26387,
10.7535,4.92687,
9.22906,4.22844,
3.72424,1.70997,
33.8932,15.6586,
15.8943,7.28222,
5.1006,2.3506,
0.156177,0.0725876,
25.4532,11.8842,
35.215,16.6879,
29.9405,13.7177,
9.93702,4.56892,
7.26967,3.34635,
8.9452,4.12236,
13.5479,6.28371,
9.74125,4.7332,
0.120642,0.0591747,
18.9144,9.2876,
4.03294,2.08238,
2.933,1.58811,
3.113,1.42627,
15.4445,7.1478,
2.60125,1.22033,
10.3394,4.85539,
2.94709,1.35026,
15.3947,7.05334,
8.3579,4.0023,
9.61766,4.65117,
7.05618,3.48594,
59.4495,30.8685,
34.0159,18.3712,
5.61764,3.04846,
3.89635,1.78518,
4.34938,2.04271,
26.2482,12.8384,
24.5493,12.4339,
23.0352,11.7934,
3.97491,2.0366,
18.3342,9.73309,
0.0907435,0.0487091,
33.8679,18.3036,
12.597,5.77151,
18.4646,8.45985,
9.71558,4.45135,
6.60436,3.0259,
17.95,8.51204,
23.1241,10.5947,
15.4133,7.11753,
11.8054,5.48795,
12.0303,5.73576,
2.64188,1.31242,
14.3685,7.15034,
1.26675,0.635436,
23.2106,11.9894,
4.13507,2.24384,
22.5025,12.5685,
23.4312,13.1779,
16.5811,7.59692,
13.5472,6.20687,
19.2562,9.20455,
16.2799,7.99932,
0.744193,0.377617,
7.89602,4.12109,
8.1999,4.4602,
2.61002,1.42273,
4.88934,2.67301,
18.6537,10.4914,
6.99115,3.20311,
0.00704279,0.00328122,
32.8752,15.4818,
6.42081,3.04983,
5.71742,2.7218,
12.9579,6.17034,
6.12731,2.92622,
2.49595,1.14356,
2.66142,1.28029,
1.35566,0.621117,
1.66048,0.796347,
7.39405,3.3877,
13.5468,6.2067,
19.463,8.96086,
4.20815,2.01359,
3.72367,1.78483,
40.8176,20.0619,
1.63639,0.807634,
11.1557,5.67463,
12.385,6.6015,
17.6243,8.07485,
2.4564,1.13393,
26.4828,12.315,
6.009,2.89917,
16.4435,7.94141,
27.73,12.7049,
3.21548,1.48252,
4.73045,2.20239,
22.6211,10.8259,
9.27212,4.46029,
3.71229,1.70085,
5.94969,2.72918,
3.68829,1.68985,
1.1122,0.509572,
1.92566,0.917994,
