eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,detector,
337995,796,40,52,0,1,0,0,0,81.4461,A5,
338209,596,39,41,0,1,0,0,0,79.6791,A5,
339891,980,55,80,0,1,0,0,0,81.5043,A7,
340029,1051,57,66,0,1,0,0,0,81.5581,A7,
340098,226,12,17,0,1,0,0,0,79.9235,A5,
342148,214,12,14,0,1,0,0,0,79.0403,A5,
343096,1399,64,103,0,2,0,0,0,80.8274,A7,
343688,746,39,51,0,1,0,0,0,79.8139,A5,
343891,391,26,34,0,1,0,0,0,91.2855,A2,
344253,551,26,43,0,1,0,0,0,77.1936,A4,
345320,921,56,62,0,1,0,0,0,81.7102,A6,
346884,842,49,54,0,2,0,0,0,77.8913,A3,
348629,1036,69,68,0,1,0,0,0,80.9711,A7,
350950,346,23,20,0,1,0,0,0,92.3416,A2,
354924,408,27,30,0,1,0,0,0,79.2862,A3,
355581,859,65,63,0,1,0,0,0,79.0661,A6,
355885,543,35,36,0,1,0,0,0,80.747,A4,
356039,954,54,78,0,1,0,0,0,80.9356,A6,
356269,353,25,23,0,1,0,0,0,88.8714,A2,
356493,313,16,18,0,1,0,0,0,149.458,A1,
357233,214,12,12,0,1,0,0,0,155.758,A1,
357752,286,18,18,0,1,0,0,0,80.5108,A4,
358285,734,40,45,0,1,0,0,0,79.6669,A6,
358870,376,25,21,0,1,0,0,0,77.7545,A3,
359001,1094,75,74,0,3,0,0,0,93.0714,A2,
359132,299,21,18,0,1,0,0,0,150.148,A1,
363079,1434,83,99,0,2,0,0,0,81.8572,A7,
364183,863,43,52,0,1,0,0,0,82.8603,A6,
364669,859,57,52,0,2,0,0,0,81.9025,A6,
364899,585,39,47,0,1,0,0,0,78.009,A4,
368791,915,57,66,0,1,0,0,0,80.295,A6,
369049,1092,67,83,0,1,0,0,0,80.804,A7,
369824,288,18,25,0,1,0,0,0,81.311,A4,
370319,395,34,28,0,1,0,0,0,79.8531,A3,
372454,565,38,40,0,1,0,0,0,79.1728,A4,
374383,416,26,24,0,2,0,0,0,151.278,A0,
375801,184,11,14,0,1,0,0,0,146.204,A0,
376112,602,30,44,0,1,0,0,0,77.8936,A4,
376905,271,10,21,0,1,0,0,0,149.133,A1,
378623,199,13,17,0,2,0,0,0,93.3707,A2,
380960,1274,85,99,0,2,0,0,0,83.2084,A7,
383173,1105,68,79,0,1,0,0,0,80.8919,A7,
383645,360,20,20,0,1,0,0,0,90.4105,A2,
384606,726,40,45,0,2,0,0,0,79.336,A4,
385568,846,53,65,0,1,0,0,0,78.1853,A5,
387873,374,36,29,0,1,0,0,0,77.7693,A3,
387923,368,25,30,0,1,0,0,0,91.2361,A2,
387955,1045,68,74,0,1,0,0,0,80.7409,A7,
387989,387,15,30,0,1,0,0,0,79.8242,A3,
393414,167,11,11,0,1,0,0,0,151.793,A0,
395590,999,52,80,0,1,0,0,0,80.8216,A7,
395824,531,18,39,0,1,0,0,0,77.274,A4,
395921,413,23,24,0,1,0,0,0,90.0865,A2,
396235,329,27,20,0,1,0,0,0,91.3217,A2,
396529,820,44,70,0,1,0,0,0,81.8845,A5,
398740,268,15,24,0,1,0,0,0,147.903,A1,
398995,1089,65,75,0,1,0,0,0,79.473,A7,
400151,966,47,83,0,1,0,0,0,82.347,A6,
402777,365,22,30,0,1,0,0,0,78.98,A3,
402982,280,26,20,0,1,0,0,0,152.804,A1,
404344,299,13,24,0,1,0,0,0,150.155,A1,
404371,170,11,13,0,1,0,0,0,78.3317,A4,
404987,393,14,24,0,1,0,0,0,79.176,A4,
405419,520,27,40,0,1,0,0,0,78.948,A4,
408259,266,14,23,0,1,0,0,0,150.962,A1,
408595,994,65,69,0,1,0,0,0,80.6929,A6,
409029,543,31,35,0,1,0,0,0,77.5332,A4,
409441,979,66,80,0,1,0,0,0,80.4661,A6,
412863,798,52,59,0,1,0,0,0,81.836,A7,
413816,710,49,48,0,1,0,0,0,81.5428,A5,
414897,649,41,51,0,1,0,0,0,80.7302,A4,
416733,995,47,71,0,1,0,0,0,78.8519,A6,
417280,987,62,69,0,1,0,0,0,80.6184,A6,
421893,578,34,51,0,1,0,0,0,79.1877,A4,
427356,117,9,6,0,1,0,0,0,80.3273,A3,
427772,595,32,40,0,1,0,0,0,78.7947,A4,
428362,491,31,38,0,1,0,0,0,82.2247,A6,
431130,1035,60,76,0,1,0,0,0,81.2823,A7,
433391,601,31,42,0,1,0,0,0,77.7413,A4,
435471,447,23,23,0,1,0,0,0,76.3647,A3,
435500,748,34,46,0,1,0,0,0,80.9185,A5,
435946,842,56,69,0,1,0,0,0,80.5274,A5,
439130,127,9,8,0,2,0,0,0,151.307,A1,
440624,801,37,60,0,1,0,0,0,79.7101,A5,
443483,164,11,14,0,1,0,0,0,147.424,A0,
443542,315,8,18,0,1,0,0,0,149.84,A1,
445937,300,20,27,0,1,0,0,0,89.4299,A2,
447829,388,18,36,0,1,0,0,0,79.8163,A3,
447958,1063,53,74,0,1,0,0,0,83.3574,A7,
449580,40,1,3,0,1,0,0,0,146.039,A1,
449752,1080,64,77,0,1,0,0,0,81.2469,A7,
450345,373,17,29,0,1,0,0,0,77.8212,A3,
451021,523,29,42,0,2,0,0,0,78.47,A4,
452894,948,63,67,0,1,0,0,0,82.667,A6,
454346,175,10,11,0,1,0,0,0,148.348,A0,
455405,572,38,45,0,1,0,0,0,77.4814,A4,
455894,1342,86,80,0,3,0,0,0,83.9426,A7,
456540,344,15,27,0,1,0,0,0,90.6823,A2,
457788,303,14,23,0,1,0,0,0,150.792,A1,
458024,777,45,46,0,1,0,0,0,79.9901,A5,
459744,383,21,23,0,1,0,0,0,89.6441,A2,
461767,798,37,51,0,1,0,0,0,81.5879,A5,
464458,1056,71,66,0,3,0,0,0,79.9984,A6,
464541,380,14,27,0,1,0,0,0,79.6528,A3,
464707,755,38,48,0,1,0,0,0,77.108,A5,
466315,1124,75,92,0,1,0,0,0,80.9794,A7,
467816,181,8,13,0,1,0,0,0,151.996,A0,
468105,391,28,28,0,1,0,0,0,90.3207,A2,
470004,633,40,43,0,1,0,0,0,78.5521,A5,
471161,226,12,19,0,1,0,0,0,146.396,A0,
471375,979,51,74,0,1,0,0,0,82.0481,A6,
471574,188,11,16,0,1,0,0,0,80.7391,A5,
472452,931,56,75,0,1,0,0,0,81.2963,A6,
473468,384,23,22,0,1,0,0,0,77.9837,A3,
473544,422,19,26,0,1,0,0,0,77.8446,A3,
475057,443,21,40,0,1,0,0,0,78.6638,A3,
475184,376,24,27,0,1,0,0,0,78.9829,A3,
476136,653,35,62,0,1,0,0,0,152.032,A0,
476509,581,23,44,0,1,0,0,0,79.2002,A4,
477018,1059,62,65,0,2,0,0,0,80.828,A6,
477467,1047,58,62,0,1,0,0,0,82.2727,A7,
481032,634,42,53,0,1,0,0,0,78.1355,A4,
485189,998,42,74,0,1,0,0,0,80.2973,A6,
486192,380,25,16,0,1,0,0,0,89.8535,A2,
486585,1159,57,85,0,1,0,0,0,79.6268,A7,
486652,372,17,22,0,1,0,0,0,80.2413,A3,
486699,171,11,19,0,1,0,0,0,152.107,A0,
487566,556,33,41,0,1,0,0,0,81.0609,A4,
487826,1078,57,81,0,1,0,0,0,83.7155,A7,
489630,1309,70,86,0,2,0,0,0,83.2496,A7,
491302,373,20,26,0,1,0,0,0,91.5114,A2,
494720,238,18,22,0,1,0,0,0,79.2526,A3,
495288,817,48,57,0,1,0,0,0,78.3055,A5,
495336,317,12,21,0,1,0,0,0,147.363,A1,
496303,464,25,27,0,2,0,0,0,78.5267,A4,
496944,504,23,40,0,1,0,0,0,89.1705,A2,
501497,443,16,38,0,1,0,0,0,77.922,A3,
502618,1106,79,68,0,1,0,0,0,80.3883,A7,
504686,381,24,22,0,1,0,0,0,90.444,A2,
504989,391,21,31,0,1,0,0,0,92.9712,A2,
