eventID,energy,neutronAngle,timeOfFlight,external,numElastic,
603166,9.88302,0.402819,44.6139,0,1,
605354,0,0,143.654,1,0,
605982,10.3013,0.411392,48.683,0,1,
607364,13.6381,0.474624,48.7152,0,1,
610812,13.6936,0.475612,44.1741,0,1,
611072,0,0,139.966,1,0,
613848,0,0,137.842,1,0,
615239,10.6373,0.41816,46.3841,0,1,
616458,72.0773,1.1497,50.6025,1,1,
620846,12.3136,0.450508,44.0845,0,1,
620934,10.2121,0.409579,44.984,0,1,
621209,0,0,137.164,1,0,
622041,16.2078,0.51849,44.3289,1,1,
622937,11.3751,0.432673,49.8271,0,1,
623450,0,0,136.398,1,0,
625286,10.9899,0.425154,43.8089,0,1,
625901,0,0,136.833,1,0,
626196,9.65886,0.398153,45.1522,0,1,
627827,0,0,137.087,1,0,
635380,0,0,135.858,1,0,
635809,0,0,137.695,1,0,
639716,0,0,140.745,1,0,
640480,0,0,136.505,1,0,
642689,12.8166,0.459804,48.3534,0,1,
643689,9.62657,0.397477,57.8733,0,1,
647926,0,0,136.523,1,0,
650913,9.83429,0.401809,47.9389,0,1,
650994,0,0,137.761,1,0,
652556,0,0,136.825,1,0,
652655,13.2752,0.468131,43.8477,0,1,
653502,0,0,140.29,1,0,
654794,0,0,139.445,1,0,
656368,0,0,137.911,1,0,
657372,0,0,135.929,1,0,
658109,9.15712,0.387519,43.8733,0,1,
658538,11.9566,0.443802,43.6607,0,1,
662276,0,0,138.778,1,0,
662614,0,0,136.653,1,0,
662849,12.5642,0.455162,44.94,0,1,
663236,0,0,136.3,1,0,
666099,12.3445,0.451085,43.5703,0,1,
667035,0,0,139.588,0,0,
669004,9.87666,0.402687,44.8148,0,1,
669137,0,0,140.454,1,0,
669913,9.20841,0.388619,43.5109,0,1,
672202,12.9997,0.463145,44.9668,0,1,
672519,0,0,141.934,1,0,
674189,13.5752,0.473505,44.4926,0,1,
675519,0,0,137.957,1,0,
675666,12.3698,0.45157,44.0828,1,1,
675729,0,0,136.928,1,0,
675782,0,0,136.453,1,0,
676401,0,0,136.302,1,0,
677179,11.1891,0.429058,47.7066,0,1,
678590,11.9499,0.443675,44.9082,0,1,
680565,9.43215,0.393382,43.9091,0,1,
680570,0,0,138.215,1,0,
680591,13.4172,0.470682,48.4486,0,1,
680716,0,0,141.929,1,0,
681393,0,0,136.515,1,0,
682890,0,0,137.556,1,0,
683173,0,0,164.005,0,0,
684094,0,0,136.701,1,0,
684660,11.8235,0.441278,43.9987,0,1,
684908,11.7608,0.440085,46.9139,0,1,
684937,12.0139,0.444886,44.0891,0,1,
684951,8.68897,0.377343,48.9645,0,1,
685733,0,0,137.42,1,0,
688250,0,0,138.781,1,0,
688860,12.794,0.45939,45.5159,0,1,
689365,0,0,138.27,1,0,
691856,0,0,137.508,1,0,
697856,0,0,139.092,1,0,
700267,8.91869,0.382368,45.6185,0,1,
701604,0,0,138.903,1,0,
701666,13.1973,0.466726,46.6131,0,1,
701730,0,0,143.328,1,0,
702494,11.0351,0.426042,48.0846,0,1,
706061,10.7844,0.421091,44.0733,0,1,
706935,0,0,142.771,1,0,
707039,0,0,139.449,1,0,
707600,0,0,136.719,1,0,
708501,0,0,136.332,1,0,
710340,0,0,138.177,1,0,
710633,0,0,136.377,1,0,
712328,0,0,138.933,1,0,
712400,14.1622,0.483864,47.8249,0,1,
713657,0,0,139.781,1,0,
713800,10.5217,0.415843,43.2906,0,1,
715642,13.5868,0.362454,44.5899,0,2,
