nucleusKineticEnergykeV,numPhotonsCreated,nucleusEnergykeVPost,
54.4254,445,0,
54.1373,444,0,
45.3816,403,0,
51.9964,436,0,
49.8418,424,0,
53.7463,445,0,
52.3489,434,0,
46.3339,411,0,
50.8445,433,0,
45.033,403,0,
45.2005,403,0,
49.224,426,0,
50.8873,428,0,
48.2057,415,0,
49.6332,421,0,
53.5529,442,0,
48.781,424,0,
50.2734,428,0,
45.8454,406,0,
48.2008,420,0,
45.7432,406,0,
49.2352,423,0,
54.0673,443,0,
49.3565,424,0,
49.237,421,0,
50.5549,433,0,
47.5263,416,0,
45.508,405,0,
50.2157,429,0,
52.9826,440,0,
53.0438,439,0,
46.654,410,0,
53.0236,440,0,
45.4467,406,0,
54.5917,447,0,
48.5245,417,0,
54.0267,441,0,
50.3996,430,0,
52.4095,440,0,
51.5419,434,0,
46.3292,410,0,
47.7849,415,0,
47.9848,416,0,
54.9262,445,0,
51.4809,437,0,
54.8035,447,0,
54.1107,441,0,
53.8833,444,0,
49.439,424,0,
48.7259,423,0,
48.2929,420,0,
51.2648,427,0,
53.1376,440,0,
49.4313,428,0,
52.5965,438,0,
50.4815,430,0,
49.9125,422,0,
50.07,425,0,
52.4792,440,0,
49.7102,422,0,
49.7067,424,0,
48.5851,420,0,
50.3264,427,0,
54.464,447,0,
45.3728,403,0,
47.2766,410,0,
48.376,419,0,
45.3381,406,0,
48.3366,417,0,
49.7277,423,0,
49.8808,427,0,
52.5361,438,0,
49.6439,425,0,
48.2769,416,0,
45.4398,406,0,
51.1659,433,0,
49.6426,425,0,
51.0403,430,0,
54.0055,443,0,
49.1643,425,0,
46.0703,407,0,
51.6602,431,0,
51.3746,436,0,
53.1008,439,0,
45.9356,409,0,
52.919,442,0,
46.6321,415,0,
48.3437,417,0,
49.7891,424,0,
52.6796,437,0,
49.0327,422,0,
49.6575,425,0,
52.8768,437,0,
51.4979,434,0,
52.457,434,0,
45.4967,403,0,
51.7134,433,0,
54.4367,446,0,
53.546,440,0,
51.7716,435,0,
53.3589,443,0,
54.6841,446,0,
45.7133,407,0,
50.8317,429,0,
45.5413,409,0,
49.9189,426,0,
51.3866,431,0,
47.8982,414,0,
51.2786,429,0,
45.8839,411,0,
49.5463,423,0,
48.6746,421,0,
51.3475,433,0,
52.0942,433,0,
47.4166,412,0,
46.1241,407,0,
47.8753,413,0,
52.3899,438,0,
47.1479,409,0,
54.8904,446,0,
46.6656,414,0,
51.0272,431,0,
51.0645,428,0,
48.6743,419,0,
52.8955,440,0,
48.1284,413,0,
49.2287,421,0,
48.2589,419,0,
46.0595,411,0,
46.872,412,0,
51.1618,434,0,
48.3763,419,0,
49.2208,420,0,
49.1594,422,0,
45.3644,401,0,
50.2709,430,0,
54.059,445,0,
52.159,438,0,
45.4241,407,0,
47.4694,413,0,
47.975,418,0,
49.6233,428,0,
47.5046,412,0,
47.5974,417,0,
45.4663,403,0,
46.8395,415,0,
52.5622,436,0,
46.7349,411,0,
46.0557,407,0,
54.6299,444,0,
52.5953,433,0,
53.7152,443,0,
45.7196,405,0,
46.8495,412,0,
45.3109,405,0,
46.2438,405,0,
46.8604,409,0,
53.3453,439,0,
54.6575,447,0,
49.6917,425,0,
49.1609,422,0,
54.4586,443,0,
46.4917,409,0,
46.123,407,0,
52.1792,434,0,
50.365,433,0,
46.7846,412,0,
49.3651,425,0,
45.303,405,0,
50.827,430,0,
45.217,405,0,
47.2842,416,0,
54.0228,443,0,
53.7396,441,0,
46.8517,411,0,
51.7967,435,0,
50.1475,428,0,
45.578,411,0,
45.6714,402,0,
47.1323,413,0,
51.0456,427,0,
53.9698,444,0,
49.4486,423,0,
49.339,426,0,
49.1213,427,0,
49.7229,426,0,
48.2586,418,0,
52.6744,439,0,
53.2839,442,0,
51.8699,436,0,
47.7882,414,0,
54.4004,442,0,
46.0854,407,0,
50.5755,428,0,
53.5682,441,0,
50.2093,426,0,
52.682,439,0,
52.5797,437,0,
48.8822,419,0,
46.983,412,0,
50.3349,427,0,
46.2715,410,0,
53.0782,439,0,
50.927,431,0,
45.4374,406,0,
49.1523,424,0,
49.7916,423,0,
46.8324,415,0,
45.6165,405,0,
45.3385,404,0,
50.6955,431,0,
53.172,441,0,
46.6762,416,0,
48.3291,420,0,
49.4235,422,0,
45.3313,408,0,
50.2832,427,0,
48.3652,422,0,
47.0335,413,0,
54.1588,445,0,
49.4294,422,0,
50.4351,427,0,
54.016,445,0,
47.1246,411,0,
47.9466,415,0,
45.953,407,0,
