eventID,eDep,
616,73.5294,
618,72.7895,
619,67.3596,
621,73.4325,
622,72.1573,
623,73.1654,
624,73.4201,
625,72.2501,
626,73.3764,
627,70.0887,
629,66.0729,
630,72.9239,
631,62.5501,
632,73.2158,
634,72.2135,
636,72.3695,
637,73.5294,
638,68.9517,
639,69.9075,
640,62.4053,
642,72.7507,
648,69.1981,
650,73.5267,
651,73.5294,
652,58.8471,
654,73.3379,
656,73.5111,
657,51.0763,
658,62.3681,
664,72.2927,
666,73.5293,
669,73.4269,
672,62.696,
674,69.4591,
675,51.4818,
679,73.3045,
682,73.0216,
683,72.6533,
686,60.4378,
688,71.4704,
689,59.0754,
690,73.2745,
691,71.9707,
693,73.4871,
694,73.5294,
695,60.6282,
696,71.4726,
697,73.5275,
698,73.2124,
700,71.274,
702,70.5616,
703,63.6918,
707,73.5294,
708,51.9183,
709,73.5294,
712,73.4751,
713,72.818,
716,72.6507,
717,72.7797,
718,56.6704,
719,72.8354,
720,69.9223,
721,62.757,
722,73.4878,
723,62.8728,
724,65.1883,
725,73.5294,
726,73.1326,
727,59.9776,
728,73.0256,
729,51.2427,
730,68.9344,
731,67.6434,
733,51.6625,
735,73.0388,
737,65.0308,
738,68.8589,
739,71.1427,
740,73.5257,
741,72.3617,
742,72.9692,
743,66.6016,
746,73.4583,
747,70.699,
748,71.8418,
749,73.5289,
751,73.2631,
752,73.4336,
755,73.0083,
756,57.307,
757,73.3753,
758,64.8377,
762,70.5188,
764,73.522,
766,73.5201,
767,68.5027,
769,70.5004,
770,62.8113,
771,61.3387,
773,64.1169,
774,59.7193,
775,73.5293,
776,72.4151,
777,73.2891,
778,71.0297,
779,73.5294,
781,73.0562,
783,71.2981,
784,69.736,
786,62.7088,
787,56.4136,
788,66.3572,
789,73.5267,
790,69.8026,
791,55.1416,
792,73.5193,
793,68.4992,
794,63.4216,
797,51.1083,
798,53.6085,
799,73.1336,
802,72.0863,
803,73.4853,
804,66.7189,
805,71.1427,
806,60.6827,
807,50.9386,
808,61.4853,
809,58.8393,
810,60.2083,
812,67.2376,
816,73.5294,
818,73.5127,
819,72.9089,
823,64.8976,
824,57.6462,
826,66.6552,
828,62.1273,
830,73.5236,
832,56.194,
833,72.418,
837,73.5278,
838,73.1526,
839,73.1925,
840,57.6688,
842,67.6145,
844,73.5288,
845,73.3675,
849,55.4011,
850,60.111,
851,70.7599,
852,73.5281,
853,73.5294,
857,71.8152,
858,72.9827,
859,56.9117,
861,72.0453,
862,73.4919,
863,66.3703,
864,57.9967,
865,51.7199,
867,73.3637,
869,73.5294,
870,73.228,
871,56.6111,
872,60.1198,
874,73.4952,
879,57.3409,
881,73.5065,
882,66.8623,
883,70.0446,
884,73.4589,
887,69.8703,
888,63.1301,
890,73.5146,
894,64.2619,
895,73.0331,
896,69.7631,
897,67.6209,
898,70.3934,
900,73.5074,
903,73.5293,
905,71.35,
906,73.5293,
907,73.5292,
909,64.7011,
910,61.727,
911,67.7752,
912,73.3971,
913,67.7514,
914,61.8988,
916,55.694,
919,53.4203,
920,54.8351,
922,58.1005,
923,50.9308,
924,67.319,
927,73.5291,
