energy;cx;cx_err
149920 eV ; 2.1855 b ; 0.099242 b
149950 eV ; 1.0453 b ; 0.092796 b
149980 eV ; 0.58658 b ; 0.089953 b
150020 eV ; 0.42774 b ; 0.090284 b
150070 eV ; 0.41986 b ; 0.058578 b
150280 eV ; 0.44142 b ; 0.027441 b
150760 eV ; 0.39339 b ; 0.019621 b
152050 eV ; 0.38691 b ; 0.010995 b
154020 eV ; 0.30663 b ; 0.010806 b
156010 eV ; 0.27643 b ; 0.010806 b
158070 eV ; 0.23814 b ; 0.011232 b
160190 eV ; 0.19996 b ; 0.010900 b
162340 eV ; 0.19681 b ; 0.010474 b
164500 eV ; 0.27280 b ; 0.0099052 b
166240 eV ; 0.55691 b ; 0.012938 b
167430 eV ; 0.96036 b ; 0.014455 b
168310 eV ; 1.5677 b ; 0.018673 b
168940 eV ; 2.1917 b ; 0.021754 b
169660 eV ; 3.3706 b ; 0.025498 b
170180 eV ; 4.4915 b ; 0.033602 b
170560 eV ; 5.6270 b ; 0.034882 b
170950 eV ; 7.0789 b ; 0.038152 b
171340 eV ; 8.5473 b ; 0.041469 b
171740 eV ; 10.416 b ; 0.048815 b
172120 eV ; 12.266 b ; 0.056872 b
172520 eV ; 13.972 b ; 0.069621 b
172970 eV ; 15.201 b ; 0.066588 b
173500 eV ; 15.731 b ; 0.075166 b
174050 eV ; 15.055 b ; 0.064976 b
174580 eV ; 13.805 b ; 0.056066 b
175140 eV ; 12.284 b ; 0.047773 b
175680 eV ; 10.782 b ; 0.040569 b
176230 eV ; 9.4683 b ; 0.035355 b
176770 eV ; 8.3895 b ; 0.033081 b
177330 eV ; 7.4270 b ; 0.029431 b
177890 eV ; 6.5928 b ; 0.027441 b
178440 eV ; 6.0199 b ; 0.027156 b
179000 eV ; 5.4288 b ; 0.025640 b
179550 eV ; 4.9860 b ; 0.025829 b
180130 eV ; 4.6587 b ; 0.023839 b
180510 eV ; 4.6176 b ; 0.038815 b
180660 eV ; 4.8711 b ; 0.066825 b
180730 eV ; 5.4383 b ; 0.070616 b
180810 eV ; 6.7312 b ; 0.078199 b
180850 eV ; 8.3600 b ; 0.16370 b
180880 eV ; 9.5615 b ; 0.18009 b
180900 eV ; 11.056 b ; 0.20493 b
180920 eV ; 12.749 b ; 0.25550 b
180940 eV ; 15.581 b ; 0.35422 b
180960 eV ; 17.886 b ; 0.48384 b
180980 eV ; 17.893 b ; 0.48839 b
181000 eV ; 18.007 b ; 0.49829 b
181020 eV ; 16.177 b ; 0.41237 b
181040 eV ; 14.262 b ; 0.34351 b
181070 eV ; 11.932 b ; 0.28469 b
181090 eV ; 10.300 b ; 0.24536 b
181110 eV ; 8.4032 b ; 0.16739 b
181150 eV ; 6.8371 b ; 0.13739 b
181180 eV ; 6.5448 b ; 0.12047 b
181210 eV ; 6.1465 b ; 0.11028 b
181240 eV ; 5.7480 b ; 0.10645 b
181270 eV ; 5.2536 b ; 0.10450 b
181400 eV ; 4.7073 b ; 0.038104 b
181610 eV ; 4.2860 b ; 0.037630 b
181920 eV ; 3.9906 b ; 0.025829 b
182660 eV ; 3.5621 b ; 0.016303 b
183690 eV ; 3.1400 b ; 0.015592 b
184720 eV ; 2.9030 b ; 0.015687 b
185310 eV ; 2.7006 b ; 0.047678 b
185420 eV ; 2.8882 b ; 0.049052 b
185480 eV ; 3.4627 b ; 0.11066 b
185510 eV ; 4.1633 b ; 0.11374 b
185530 eV ; 4.4105 b ; 0.11498 b
185550 eV ; 4.9785 b ; 0.11929 b
185570 eV ; 5.2280 b ; 0.12123 b
185590 eV ; 5.2056 b ; 0.12128 b
185620 eV ; 4.5794 b ; 0.11948 b
185640 eV ; 3.7670 b ; 0.11607 b
185660 eV ; 3.1973 b ; 0.11554 b
185680 eV ; 3.1492 b ; 0.11218 b
185720 eV ; 2.7738 b ; 0.070190 b
185770 eV ; 2.7398 b ; 0.069100 b
185910 eV ; 2.7066 b ; 0.034645 b
187040 eV ; 2.4571 b ; 0.012133 b
189390 eV ; 2.0960 b ; 0.012844 b
191650 eV ; 1.8597 b ; 0.011801 b
192930 eV ; 1.8095 b ; 0.039336 b
193090 eV ; 1.9982 b ; 0.064597 b
193170 eV ; 2.5497 b ; 0.066256 b
193220 eV ; 3.6733 b ; 0.13028 b
193250 eV ; 4.8374 b ; 0.13886 b
193270 eV ; 5.9187 b ; 0.15294 b
193290 eV ; 7.9196 b ; 0.17640 b
193320 eV ; 9.2941 b ; 0.20066 b
193340 eV ; 9.7607 b ; 0.21081 b
193360 eV ; 8.8623 b ; 0.19706 b
193390 eV ; 7.4510 b ; 0.17469 b
193410 eV ; 5.5856 b ; 0.15365 b
193430 eV ; 4.4660 b ; 0.13711 b
193460 eV ; 3.7935 b ; 0.12706 b
193490 eV ; 3.1302 b ; 0.081943 b
193570 eV ; 2.4310 b ; 0.049621 b
193690 eV ; 2.2375 b ; 0.052512 b
194470 eV ; 1.8113 b ; 0.014360 b
195220 eV ; 1.6925 b ; 0.047725 b
195300 eV ; 1.9774 b ; 0.091422 b
195330 eV ; 1.8752 b ; 0.092986 b
195370 eV ; 2.2160 b ; 0.094028 b
195400 eV ; 2.3031 b ; 0.094313 b
195440 eV ; 2.3288 b ; 0.095877 b
195480 eV ; 1.9498 b ; 0.091706 b
195510 eV ; 1.8036 b ; 0.090474 b
195550 eV ; 1.6456 b ; 0.090142 b
195590 eV ; 1.6138 b ; 0.073697 b
196050 eV ; 1.5914 b ; 0.018389 b
196520 eV ; 1.6203 b ; 0.049573 b
196600 eV ; 1.7900 b ; 0.086493 b
196630 eV ; 2.0348 b ; 0.087062 b
196670 eV ; 2.4184 b ; 0.088863 b
196700 eV ; 2.4562 b ; 0.089336 b
196740 eV ; 2.2162 b ; 0.088815 b
196780 eV ; 1.8238 b ; 0.089005 b
196810 eV ; 1.8198 b ; 0.088341 b
196850 eV ; 1.3820 b ; 0.087915 b
196930 eV ; 1.5244 b ; 0.048815 b
197650 eV ; 1.5065 b ; 0.014123 b
198370 eV ; 1.5233 b ; 0.048768 b
198450 eV ; 1.7584 b ; 0.088341 b
198490 eV ; 2.0740 b ; 0.087583 b
198530 eV ; 2.4459 b ; 0.091232 b
198560 eV ; 2.7352 b ; 0.093365 b
198600 eV ; 2.2456 b ; 0.091280 b
198640 eV ; 1.6930 b ; 0.088578 b
