energy;cx;cx_err
938210 eV ; 6.6044 b ; 0.054645 b
938460 eV ; 5.5398 b ; 0.051232 b
938710 eV ; 4.2906 b ; 0.047678 b
938960 eV ; 3.2976 b ; 0.045308 b
939210 eV ; 2.5483 b ; 0.043934 b
939460 eV ; 2.1519 b ; 0.042607 b
940090 eV ; 1.6216 b ; 0.020332 b
942140 eV ; 1.2833 b ; 0.011374 b
945170 eV ; 1.2028 b ; 0.011801 b
948100 eV ; 1.1446 b ; 0.012180 b
949740 eV ; 1.0806 b ; 0.033649 b
950120 eV ; 1.1663 b ; 0.032891 b
950440 eV ; 1.3119 b ; 0.040284 b
950700 eV ; 1.6798 b ; 0.040474 b
950950 eV ; 2.3700 b ; 0.041280 b
951210 eV ; 2.9630 b ; 0.042417 b
951460 eV ; 3.1630 b ; 0.043175 b
951720 eV ; 3.0642 b ; 0.042654 b
951970 eV ; 2.5290 b ; 0.041801 b
952230 eV ; 1.9901 b ; 0.040853 b
952480 eV ; 1.7193 b ; 0.040190 b
953060 eV ; 1.4023 b ; 0.020995 b
954660 eV ; 1.2252 b ; 0.013081 b
956960 eV ; 1.2180 b ; 0.013175 b
959290 eV ; 1.2638 b ; 0.013175 b
960840 eV ; 1.3792 b ; 0.024076 b
961620 eV ; 1.6711 b ; 0.025118 b
962140 eV ; 2.5882 b ; 0.045592 b
962400 eV ; 3.3877 b ; 0.047773 b
962660 eV ; 4.3374 b ; 0.050332 b
962920 eV ; 5.0946 b ; 0.052322 b
963170 eV ; 5.1958 b ; 0.052701 b
963440 eV ; 5.0208 b ; 0.051706 b
963700 eV ; 4.5384 b ; 0.049905 b
963950 eV ; 3.8684 b ; 0.047441 b
964220 eV ; 3.0715 b ; 0.045261 b
964470 eV ; 2.2537 b ; 0.043554 b
964740 eV ; 1.7552 b ; 0.042275 b
965390 eV ; 1.3446 b ; 0.020427 b
966890 eV ; 1.1789 b ; 0.014739 b
968130 eV ; 1.2278 b ; 0.028910 b
968650 eV ; 1.4537 b ; 0.030237 b
969180 eV ; 1.6224 b ; 0.031374 b
969700 eV ; 1.4747 b ; 0.031374 b
970230 eV ; 1.2957 b ; 0.031043 b
971160 eV ; 1.2616 b ; 0.018863 b
973270 eV ; 1.2584 b ; 0.012654 b
976150 eV ; 1.3644 b ; 0.012227 b
979100 eV ; 1.4983 b ; 0.012370 b
981550 eV ; 1.6714 b ; 0.015213 b
983570 eV ; 1.8924 b ; 0.015403 b
985560 eV ; 2.1804 b ; 0.015687 b
987580 eV ; 2.5765 b ; 0.016446 b
989630 eV ; 3.0158 b ; 0.016777 b
991670 eV ; 3.5034 b ; 0.016825 b
993700 eV ; 3.9627 b ; 0.017346 b
995750 eV ; 3.8237 b ; 0.016967 b
997790 eV ; 3.4944 b ; 0.016588 b
999820 eV ; 3.1516 b ; 0.016967 b
1001900 eV ; 2.7619 b ; 0.016777 b
1004000 eV ; 2.4369 b ; 0.016493 b
1006100 eV ; 2.1764 b ; 0.015924 b
1008100 eV ; 1.9610 b ; 0.015592 b
1009300 eV ; 1.9725 b ; 0.043791 b
1009600 eV ; 2.1059 b ; 0.043886 b
1009900 eV ; 2.2566 b ; 0.043981 b
1010200 eV ; 2.0900 b ; 0.043744 b
1010400 eV ; 2.0388 b ; 0.043507 b
1010700 eV ; 1.9780 b ; 0.043602 b
1011000 eV ; 2.2209 b ; 0.044171 b
1011300 eV ; 2.4988 b ; 0.045024 b
1011600 eV ; 2.8047 b ; 0.045545 b
1011800 eV ; 2.6948 b ; 0.045261 b
1012100 eV ; 2.3342 b ; 0.044028 b
1012400 eV ; 1.8886 b ; 0.042701 b
1012700 eV ; 1.5679 b ; 0.041896 b
1013000 eV ; 1.4024 b ; 0.033555 b
1013700 eV ; 1.2907 b ; 0.023555 b
1014500 eV ; 1.2553 b ; 0.023507 b
1015400 eV ; 1.2483 b ; 0.023507 b
1016200 eV ; 1.7422 b ; 0.024123 b
1016800 eV ; 3.1582 b ; 0.044692 b
1017000 eV ; 4.5084 b ; 0.048009 b
1017300 eV ; 5.9071 b ; 0.052844 b
1017600 eV ; 6.5717 b ; 0.055829 b
1017900 eV ; 6.2832 b ; 0.054028 b
1018200 eV ; 5.0209 b ; 0.049810 b
1018500 eV ; 3.7899 b ; 0.045877 b
1018700 eV ; 2.7455 b ; 0.043270 b
1019000 eV ; 2.0099 b ; 0.041991 b
1019500 eV ; 1.4748 b ; 0.025829 b
1020200 eV ; 1.1163 b ; 0.025213 b
1020900 eV ; 0.92155 b ; 0.024787 b
1021600 eV ; 0.86105 b ; 0.024645 b
1022100 eV ; 1.2932 b ; 0.039479 b
1022400 eV ; 1.9167 b ; 0.040474 b
1022700 eV ; 2.4650 b ; 0.041754 b
1023000 eV ; 2.6814 b ; 0.042133 b
1023300 eV ; 2.3629 b ; 0.041422 b
1023600 eV ; 1.9871 b ; 0.040664 b
1023800 eV ; 1.5857 b ; 0.040095 b
1024100 eV ; 1.2797 b ; 0.039905 b
1024500 eV ; 1.0463 b ; 0.028389 b
1025100 eV ; 0.85430 b ; 0.028294 b
1025600 eV ; 1.1239 b ; 0.040237 b
1025800 eV ; 1.7055 b ; 0.041469 b
1026100 eV ; 2.4980 b ; 0.043081 b
1026400 eV ; 3.0163 b ; 0.044171 b
1026700 eV ; 2.9848 b ; 0.043934 b
1027000 eV ; 2.6395 b ; 0.042844 b
1027300 eV ; 2.2487 b ; 0.041991 b
1027600 eV ; 2.0697 b ; 0.041280 b
1027800 eV ; 1.9082 b ; 0.040995 b
1028300 eV ; 1.6972 b ; 0.028768 b
1028800 eV ; 1.5214 b ; 0.028436 b
1029400 eV ; 1.4676 b ; 0.028626 b
1030000 eV ; 1.8201 b ; 0.029431 b
1030400 eV ; 2.1305 b ; 0.042701 b
1030700 eV ; 2.2630 b ; 0.042796 b
1031000 eV ; 2.3046 b ; 0.042749 b
1031300 eV ; 2.2381 b ; 0.042654 b
1031600 eV ; 2.3529 b ; 0.043128 b
1031900 eV ; 2.6026 b ; 0.043270 b
1032100 eV ; 2.7208 b ; 0.043223 b
1032400 eV ; 2.5955 b ; 0.042986 b
1032700 eV ; 2.2537 b ; 0.042417 b
1033000 eV ; 2.1177 b ; 0.042275 b
1033300 eV ; 2.0039 b ; 0.042322 b
1034000 eV ; 2.1121 b ; 0.021706 b
1035200 eV ; 2.4562 b ; 0.021801 b
1036300 eV ; 2.7567 b ; 0.022038 b
1037500 eV ; 3.1921 b ; 0.022701 b
1038200 eV ; 3.7990 b ; 0.047536 b
1038500 eV ; 4.2686 b ; 0.049052 b
1038800 eV ; 5.0131 b ; 0.051280 b
1039100 eV ; 5.1640 b ; 0.052085 b
1039400 eV ; 4.9006 b ; 0.050806 b
1039700 eV ; 4.2777 b ; 0.048815 b
1040300 eV ; 3.7758 b ; 0.027062 b
1041100 eV ; 3.6446 b ; 0.027062 b
1042000 eV ; 3.6531 b ; 0.027773 b
1042800 eV ; 3.8284 b ; 0.033886 b
1043300 eV ; 4.0531 b ; 0.033791 b
1043900 eV ; 3.9737 b ; 0.034028 b
1044500 eV ; 3.6856 b ; 0.033886 b
1045100 eV ; 3.5364 b ; 0.034076 b
1045700 eV ; 3.4490 b ; 0.034076 b
1046300 eV ; 3.3856 b ; 0.033175 b
1046900 eV ; 3.2524 b ; 0.032370 b
1047500 eV ; 3.1933 b ; 0.032038 b
1048100 eV ; 3.0141 b ; 0.028531 b
1048800 eV ; 2.9155 b ; 0.028483 b
1049400 eV ; 3.3891 b ; 0.046635 b
1049700 eV ; 3.9816 b ; 0.048341 b
1050000 eV ; 4.8260 b ; 0.051137 b
1050300 eV ; 5.3439 b ; 0.052938 b
1050600 eV ; 5.2900 b ; 0.052559 b
1050800 eV ; 4.8848 b ; 0.051374 b
1051300 eV ; 4.2153 b ; 0.034834 b
1051900 eV ; 4.1800 b ; 0.034360 b
1052300 eV ; 4.3266 b ; 0.049147 b
1052600 eV ; 4.7995 b ; 0.050806 b
1052900 eV ; 5.4292 b ; 0.053460 b
1053200 eV ; 6.1970 b ; 0.056303 b
1053500 eV ; 6.4475 b ; 0.057488 b
1053800 eV ; 6.0237 b ; 0.055118 b
1054100 eV ; 5.0166 b ; 0.051090 b
1054600 eV ; 3.8358 b ; 0.033555 b
1055200 eV ; 3.1380 b ; 0.032654 b
1055800 eV ; 2.9661 b ; 0.032322 b
1056800 eV ; 2.7523 b ; 0.020095 b
1059200 eV ; 2.5548 b ; 0.013128 b
1062500 eV ; 2.3201 b ; 0.013223 b
1065800 eV ; 2.2068 b ; 0.013365 b
1069200 eV ; 1.9839 b ; 0.012796 b
1072500 eV ; 1.8243 b ; 0.012370 b
1075800 eV ; 1.6628 b ; 0.012559 b
1077900 eV ; 1.5666 b ; 0.026919 b
1078700 eV ; 1.4630 b ; 0.026493 b
1079500 eV ; 1.3860 b ; 0.026019 b
1080200 eV ; 1.3255 b ; 0.025545 b
1080900 eV ; 1.3578 b ; 0.033033 b
1081200 eV ; 1.5367 b ; 0.057962 b
1081300 eV ; 1.7312 b ; 0.058436 b
1081500 eV ; 2.0314 b ; 0.059005 b
1081600 eV ; 2.2615 b ; 0.059573 b
1081800 eV ; 2.5644 b ; 0.060758 b
1082100 eV ; 2.8127 b ; 0.035782 b
1082600 eV ; 2.9882 b ; 0.036019 b
1083000 eV ; 2.7926 b ; 0.035829 b
1083500 eV ; 2.5126 b ; 0.035687 b
1084000 eV ; 2.4094 b ; 0.035545 b
1084400 eV ; 2.2095 b ; 0.034976 b
1085400 eV ; 1.9698 b ; 0.019573 b
1086800 eV ; 1.8538 b ; 0.019431 b
1088200 eV ; 1.8019 b ; 0.019242 b
1089600 eV ; 1.6799 b ; 0.019147 b
1091000 eV ; 1.4977 b ; 0.019621 b
1091900 eV ; 1.6592 b ; 0.034360 b
1092400 eV ; 1.8961 b ; 0.034408 b
1092900 eV ; 1.9265 b ; 0.034265 b
1093300 eV ; 1.7574 b ; 0.033744 b
1093800 eV ; 1.6000 b ; 0.033412 b
1094300 eV ; 1.6252 b ; 0.033507 b
1094700 eV ; 1.6415 b ; 0.033886 b
1095200 eV ; 1.7799 b ; 0.034645 b
1095700 eV ; 2.0324 b ; 0.035118 b
1096200 eV ; 1.8366 b ; 0.034597 b
1096600 eV ; 1.5035 b ; 0.033555 b
1097100 eV ; 1.2907 b ; 0.033223 b
1097700 eV ; 1.2235 b ; 0.025592 b
1098500 eV ; 1.1885 b ; 0.025592 b
1099200 eV ; 1.2931 b ; 0.033128 b
1099600 eV ; 1.3305 b ; 0.032749 b
1100100 eV ; 1.1624 b ; 0.032417 b
1100600 eV ; 1.1344 b ; 0.032275 b
1101100 eV ; 1.1968 b ; 0.032370 b
1101500 eV ; 1.6107 b ; 0.032654 b
1102000 eV ; 2.1559 b ; 0.033839 b
1102500 eV ; 2.7970 b ; 0.035213 b
1103000 eV ; 2.8349 b ; 0.035877 b
1103500 eV ; 2.9430 b ; 0.035829 b
1103900 eV ; 3.3005 b ; 0.036493 b
1104400 eV ; 3.5881 b ; 0.036872 b
1104900 eV ; 3.3834 b ; 0.036540 b
1105400 eV ; 2.7618 b ; 0.035592 b
1106000 eV ; 2.4617 b ; 0.027156 b
1106800 eV ; 2.1739 b ; 0.026635 b
1107600 eV ; 2.0784 b ; 0.025924 b
1108400 eV ; 1.8707 b ; 0.025735 b
1110200 eV ; 1.7435 b ; 0.014076 b
1112900 eV ; 1.6114 b ; 0.013934 b
1115700 eV ; 1.4678 b ; 0.014597 b
1118400 eV ; 1.3804 b ; 0.014076 b
1120100 eV ; 1.3692 b ; 0.029763 b
1120800 eV ; 1.4506 b ; 0.030427 b
1121400 eV ; 1.5769 b ; 0.030853 b
1122100 eV ; 1.4918 b ; 0.030995 b
1122700 eV ; 1.2185 b ; 0.030427 b
1123400 eV ; 1.1232 b ; 0.029763 b
1124100 eV ; 1.3376 b ; 0.029858 b
1124700 eV ; 1.6251 b ; 0.030569 b
1125400 eV ; 1.7047 b ; 0.030284 b
1126000 eV ; 1.4587 b ; 0.029573 b
1126700 eV ; 1.1767 b ; 0.028768 b
1127300 eV ; 1.2542 b ; 0.028389 b
1128000 eV ; 1.6511 b ; 0.028578 b
1128600 eV ; 1.8805 b ; 0.029289 b
1129300 eV ; 1.5859 b ; 0.029289 b
1130000 eV ; 1.2990 b ; 0.028389 b
1130600 eV ; 1.2220 b ; 0.027915 b
1131300 eV ; 1.3111 b ; 0.027725 b
1132000 eV ; 1.2877 b ; 0.027678 b
1132600 eV ; 1.3729 b ; 0.028009 b
1133300 eV ; 1.7891 b ; 0.028531 b
1133900 eV ; 2.0052 b ; 0.028957 b
1134600 eV ; 2.0681 b ; 0.029147 b
1135300 eV ; 2.3604 b ; 0.029573 b
1135900 eV ; 2.8203 b ; 0.030474 b
1136600 eV ; 3.1917 b ; 0.031659 b
1137300 eV ; 3.5217 b ; 0.032986 b
1137900 eV ; 3.7246 b ; 0.033412 b
1138600 eV ; 3.6129 b ; 0.032464 b
1139300 eV ; 3.3467 b ; 0.031517 b
1139900 eV ; 3.2632 b ; 0.030995 b
1140800 eV ; 3.1666 b ; 0.025403 b
1141800 eV ; 3.2430 b ; 0.025687 b
1142800 eV ; 3.5960 b ; 0.025735 b
1143800 eV ; 4.1363 b ; 0.026919 b
1144800 eV ; 4.6269 b ; 0.027962 b
1145600 eV ; 4.9433 b ; 0.041185 b
1146100 eV ; 5.2297 b ; 0.042322 b
1146600 eV ; 5.3593 b ; 0.042133 b
1147100 eV ; 5.4002 b ; 0.041469 b
1147600 eV ; 5.6039 b ; 0.041848 b
1148200 eV ; 5.9123 b ; 0.036825 b
1148900 eV ; 6.5726 b ; 0.038768 b
1149500 eV ; 7.2138 b ; 0.041517 b
1150000 eV ; 7.8389 b ; 0.062133 b
1150400 eV ; 8.4087 b ; 0.064550 b
1150700 eV ; 8.9952 b ; 0.068199 b
1151100 eV ; 9.0668 b ; 0.069384 b
1151400 eV ; 9.2731 b ; 0.070995 b
1151700 eV ; 8.6267 b ; 0.067867 b
1152100 eV ; 7.6984 b ; 0.062654 b
1152400 eV ; 6.7981 b ; 0.057915 b
1152800 eV ; 5.6364 b ; 0.053175 b
1153100 eV ; 5.0129 b ; 0.050237 b
1153400 eV ; 4.3432 b ; 0.047725 b
1153800 eV ; 3.8508 b ; 0.046066 b
1154100 eV ; 3.4540 b ; 0.044882 b
1154500 eV ; 3.1446 b ; 0.044028 b
1154800 eV ; 2.9946 b ; 0.043365 b
1155100 eV ; 2.6970 b ; 0.042796 b
1155500 eV ; 2.6283 b ; 0.042607 b
1155800 eV ; 2.5313 b ; 0.042180 b
1156300 eV ; 2.4106 b ; 0.034455 b
1156800 eV ; 2.2994 b ; 0.034265 b
1157300 eV ; 2.2077 b ; 0.034265 b
1157800 eV ; 2.0793 b ; 0.034076 b
1158300 eV ; 2.0317 b ; 0.034076 b
1158800 eV ; 2.3174 b ; 0.034597 b
1159300 eV ; 2.5012 b ; 0.035071 b
1159900 eV ; 2.5694 b ; 0.034834 b
1160400 eV ; 2.4719 b ; 0.034360 b
1160900 eV ; 2.4564 b ; 0.034218 b
1161700 eV ; 2.4950 b ; 0.024218 b
1162700 eV ; 2.7564 b ; 0.024597 b
1163700 eV ; 3.3075 b ; 0.025545 b
1164400 eV ; 4.1055 b ; 0.046398 b
1164800 eV ; 4.7324 b ; 0.048246 b
1165100 eV ; 5.3803 b ; 0.050900 b
1165500 eV ; 6.3609 b ; 0.054645 b
1165800 eV ; 7.3565 b ; 0.059336 b
1166100 eV ; 7.9042 b ; 0.061896 b
1166500 eV ; 7.7778 b ; 0.060948 b
1166800 eV ; 7.0868 b ; 0.056872 b
1167200 eV ; 6.0382 b ; 0.052133 b
1167500 eV ; 5.1247 b ; 0.048815 b
1167900 eV ; 4.3372 b ; 0.046303 b
1168200 eV ; 3.7930 b ; 0.044692 b
1168700 eV ; 3.2386 b ; 0.030853 b
1169400 eV ; 2.6095 b ; 0.030427 b
1170100 eV ; 2.3511 b ; 0.030332 b
1170800 eV ; 2.1716 b ; 0.034597 b
1171300 eV ; 2.0849 b ; 0.034360 b
1171800 eV ; 1.9811 b ; 0.034218 b
1172300 eV ; 2.0681 b ; 0.034313 b
1172800 eV ; 2.0385 b ; 0.034455 b
1173400 eV ; 1.9173 b ; 0.033981 b
1173900 eV ; 1.8396 b ; 0.033223 b
1174700 eV ; 1.6662 b ; 0.023270 b
1175700 eV ; 1.6906 b ; 0.023081 b
1176800 eV ; 1.6533 b ; 0.022654 b
1177800 eV ; 1.6198 b ; 0.022938 b
1178600 eV ; 1.4747 b ; 0.033128 b
1179200 eV ; 1.4383 b ; 0.033365 b
1179700 eV ; 1.4306 b ; 0.033839 b
1180200 eV ; 1.7437 b ; 0.034455 b
1180700 eV ; 2.1569 b ; 0.035166 b
1181300 eV ; 2.1856 b ; 0.034692 b
1181800 eV ; 1.9298 b ; 0.033791 b
1182300 eV ; 1.8266 b ; 0.033649 b
1182900 eV ; 1.8422 b ; 0.034076 b
1183400 eV ; 1.8580 b ; 0.034502 b
1183900 eV ; 1.7944 b ; 0.034360 b
1184500 eV ; 1.6428 b ; 0.033886 b
1185000 eV ; 1.5422 b ; 0.033365 b
1185500 eV ; 1.5649 b ; 0.033175 b
1186000 eV ; 1.7324 b ; 0.033412 b
1186600 eV ; 1.9112 b ; 0.033886 b
1187100 eV ; 1.9352 b ; 0.033839 b
1187600 eV ; 1.7517 b ; 0.033649 b
1188200 eV ; 1.7411 b ; 0.033460 b
1189000 eV ; 1.5969 b ; 0.023791 b
1190100 eV ; 1.5818 b ; 0.023697 b
1191400 eV ; 1.5575 b ; 0.018626 b
1193300 eV ; 1.5360 b ; 0.015877 b
1195400 eV ; 1.4861 b ; 0.015829 b
1197600 eV ; 1.6636 b ; 0.016066 b
1198800 eV ; 2.3099 b ; 0.042180 b
1199200 eV ; 2.7624 b ; 0.043270 b
1199600 eV ; 3.2162 b ; 0.044360 b
1199900 eV ; 3.3161 b ; 0.044408 b
1200300 eV ; 3.0779 b ; 0.043128 b
1200700 eV ; 2.6242 b ; 0.041754 b
1201000 eV ; 2.2297 b ; 0.040806 b
1201400 eV ; 2.0692 b ; 0.040521 b
1201700 eV ; 2.1299 b ; 0.040948 b
1202100 eV ; 2.4573 b ; 0.041517 b
1202500 eV ; 2.3699 b ; 0.041659 b
1202800 eV ; 2.0624 b ; 0.040853 b
1203200 eV ; 1.7253 b ; 0.040237 b
1203500 eV ; 1.3117 b ; 0.039384 b
1204100 eV ; 1.2282 b ; 0.027678 b
1204800 eV ; 1.2077 b ; 0.027678 b
1205800 eV ; 1.1380 b ; 0.021991 b
1206700 eV ; 1.2355 b ; 0.033886 b
1207300 eV ; 1.5678 b ; 0.033791 b
1207800 eV ; 2.1103 b ; 0.034218 b
1208400 eV ; 2.1537 b ; 0.034218 b
1208900 eV ; 1.9156 b ; 0.034028 b
1209500 eV ; 1.7692 b ; 0.034265 b
1210000 eV ; 1.6727 b ; 0.034739 b
1210900 eV ; 1.5796 b ; 0.022227 b
1212800 eV ; 1.3686 b ; 0.015829 b
1215200 eV ; 1.2597 b ; 0.015640 b
1217600 eV ; 1.2164 b ; 0.015592 b
1220000 eV ; 1.1691 b ; 0.015355 b
1222300 eV ; 1.1269 b ; 0.015735 b
1224200 eV ; 1.1094 b ; 0.021801 b
1225500 eV ; 1.1561 b ; 0.021943 b
1226800 eV ; 1.5855 b ; 0.023412 b
1227700 eV ; 2.1883 b ; 0.046540 b
1228100 eV ; 2.7065 b ; 0.046967 b
1228400 eV ; 3.0821 b ; 0.046777 b
1228800 eV ; 3.3708 b ; 0.046635 b
1229200 eV ; 3.5478 b ; 0.046446 b
1229600 eV ; 3.6037 b ; 0.046066 b
1229900 eV ; 3.4716 b ; 0.045450 b
1230300 eV ; 3.1280 b ; 0.044550 b
1230700 eV ; 2.9096 b ; 0.043507 b
1231100 eV ; 2.7564 b ; 0.043128 b
1231400 eV ; 2.6549 b ; 0.042701 b
1232200 eV ; 2.4835 b ; 0.025166 b
1233300 eV ; 2.3856 b ; 0.025213 b
1234400 eV ; 2.3267 b ; 0.024976 b
1235600 eV ; 2.4570 b ; 0.024976 b
1236700 eV ; 2.9251 b ; 0.025308 b
1237500 eV ; 3.5877 b ; 0.045592 b
1237800 eV ; 4.1381 b ; 0.046919 b
1238200 eV ; 4.8606 b ; 0.049384 b
1238600 eV ; 5.8678 b ; 0.052749 b
1239000 eV ; 6.5740 b ; 0.055592 b
1239400 eV ; 6.9466 b ; 0.057346 b
1239700 eV ; 6.4138 b ; 0.055545 b
1240100 eV ; 5.6556 b ; 0.052701 b
1240500 eV ; 4.7558 b ; 0.050332 b
1240900 eV ; 4.0681 b ; 0.048863 b
1241300 eV ; 3.6211 b ; 0.047441 b
1241600 eV ; 3.3221 b ; 0.046303 b
1242000 eV ; 3.0166 b ; 0.045024 b
1242800 eV ; 2.6873 b ; 0.025545 b
1243900 eV ; 2.5678 b ; 0.024929 b
1245100 eV ; 2.7955 b ; 0.024455 b
1246200 eV ; 3.0865 b ; 0.025071 b
1247400 eV ; 3.2704 b ; 0.025261 b
1248500 eV ; 3.5614 b ; 0.025735 b
1249700 eV ; 3.8630 b ; 0.026351 b
1250800 eV ; 4.0111 b ; 0.026493 b
1252000 eV ; 4.0120 b ; 0.027062 b
1253100 eV ; 3.7751 b ; 0.027820 b
1254300 eV ; 3.5627 b ; 0.027867 b
1255400 eV ; 3.4425 b ; 0.027583 b
1256200 eV ; 3.4935 b ; 0.048009 b
1256600 eV ; 3.7106 b ; 0.048673 b
1257000 eV ; 3.7428 b ; 0.049147 b
1257400 eV ; 3.5759 b ; 0.049005 b
1257800 eV ; 3.3055 b ; 0.048009 b
1258200 eV ; 3.0044 b ; 0.046730 b
1258500 eV ; 2.7872 b ; 0.045735 b
1258900 eV ; 2.7137 b ; 0.045261 b
1259700 eV ; 2.7347 b ; 0.026019 b
1260900 eV ; 2.7745 b ; 0.025829 b
1262000 eV ; 2.9132 b ; 0.025640 b
1263200 eV ; 3.2803 b ; 0.025735 b
1264000 eV ; 3.7972 b ; 0.045735 b
1264400 eV ; 4.2400 b ; 0.047109 b
1264800 eV ; 4.6484 b ; 0.049336 b
1265200 eV ; 5.3576 b ; 0.052133 b
1265600 eV ; 5.5467 b ; 0.053128 b
1266000 eV ; 4.9537 b ; 0.050900 b
1266300 eV ; 3.8297 b ; 0.047062 b
1266700 eV ; 2.8186 b ; 0.044028 b
1267100 eV ; 2.1476 b ; 0.042464 b
1267500 eV ; 1.7525 b ; 0.041943 b
1268200 eV ; 1.6561 b ; 0.026351 b
1269200 eV ; 1.7977 b ; 0.026256 b
1270200 eV ; 2.0444 b ; 0.026446 b
1271000 eV ; 2.2797 b ; 0.034787 b
1271600 eV ; 2.6764 b ; 0.035592 b
1272100 eV ; 3.4874 b ; 0.037299 b
1272700 eV ; 4.5818 b ; 0.039810 b
1273300 eV ; 5.6047 b ; 0.042559 b
1273900 eV ; 6.2493 b ; 0.044834 b
1274500 eV ; 6.7664 b ; 0.047062 b
1275100 eV ; 7.2408 b ; 0.049100 b
1275700 eV ; 7.8703 b ; 0.051611 b
1276300 eV ; 8.0888 b ; 0.053839 b
1276900 eV ; 8.3002 b ; 0.055877 b
1277500 eV ; 7.9312 b ; 0.055261 b
1278100 eV ; 7.2305 b ; 0.051564 b
1278700 eV ; 6.1801 b ; 0.046730 b
1279300 eV ; 5.1910 b ; 0.042938 b
1279900 eV ; 4.3868 b ; 0.040095 b
1280500 eV ; 3.7173 b ; 0.038057 b
1281100 eV ; 3.2084 b ; 0.037014 b
1282100 eV ; 2.5267 b ; 0.023507 b
1283500 eV ; 1.9726 b ; 0.022417 b
1284900 eV ; 1.6630 b ; 0.021848 b
1286300 eV ; 1.3582 b ; 0.021517 b
1287300 eV ; 1.2665 b ; 0.032417 b
1287900 eV ; 1.4039 b ; 0.032844 b
1288300 eV ; 1.8991 b ; 0.057915 b
1288500 eV ; 2.3094 b ; 0.058957 b
1288700 eV ; 2.6708 b ; 0.060284 b
1288900 eV ; 2.9821 b ; 0.061280 b
1289100 eV ; 3.1616 b ; 0.061896 b
1289400 eV ; 3.2517 b ; 0.043981 b
1289800 eV ; 3.0805 b ; 0.043412 b
1290200 eV ; 2.6906 b ; 0.042654 b
1290600 eV ; 2.4232 b ; 0.042322 b
1291000 eV ; 2.2368 b ; 0.042227 b
1291600 eV ; 2.0632 b ; 0.030379 b
1292400 eV ; 1.8494 b ; 0.031517 b
1293200 eV ; 1.9354 b ; 0.031848 b
1294000 eV ; 2.1513 b ; 0.032227 b
1294500 eV ; 2.5463 b ; 0.065735 b
1294700 eV ; 2.8336 b ; 0.066635 b
1294900 eV ; 3.1971 b ; 0.067630 b
1295100 eV ; 3.2859 b ; 0.068057 b
1295300 eV ; 3.4277 b ; 0.068341 b
1295500 eV ; 3.3723 b ; 0.068389 b
1295700 eV ; 3.1461 b ; 0.067251 b
1295900 eV ; 2.9305 b ; 0.065498 b
1296100 eV ; 2.4979 b ; 0.064171 b
1296300 eV ; 2.3000 b ; 0.062938 b
1296600 eV ; 2.0741 b ; 0.061706 b
1296800 eV ; 1.8441 b ; 0.061137 b
1297000 eV ; 1.7132 b ; 0.061043 b
1297200 eV ; 1.6860 b ; 0.060616 b
1297700 eV ; 1.5271 b ; 0.030237 b
1299100 eV ; 1.5126 b ; 0.018957 b
1301100 eV ; 1.4901 b ; 0.018957 b
1303200 eV ; 1.4786 b ; 0.019194 b
1305200 eV ; 1.5291 b ; 0.019289 b
1306500 eV ; 1.6205 b ; 0.042938 b
1306900 eV ; 1.6714 b ; 0.042607 b
1307300 eV ; 1.8562 b ; 0.042749 b
1307700 eV ; 1.8296 b ; 0.042512 b
1308100 eV ; 1.7734 b ; 0.042322 b
1308500 eV ; 1.6977 b ; 0.041801 b
1308900 eV ; 1.5881 b ; 0.041659 b
1309800 eV ; 1.6508 b ; 0.022464 b
1311300 eV ; 1.6920 b ; 0.022701 b
1312700 eV ; 1.9691 b ; 0.023033 b
1314200 eV ; 2.3775 b ; 0.023744 b
1315100 eV ; 2.8723 b ; 0.046161 b
1315500 eV ; 3.3214 b ; 0.047251 b
1315900 eV ; 3.5415 b ; 0.048057 b
1316400 eV ; 3.9537 b ; 0.048199 b
1316800 eV ; 3.8846 b ; 0.048104 b
1317200 eV ; 3.7927 b ; 0.047773 b
1317600 eV ; 3.6163 b ; 0.047820 b
1318000 eV ; 3.3346 b ; 0.047773 b
1318800 eV ; 2.9654 b ; 0.027962 b
1320100 eV ; 2.5414 b ; 0.027109 b
1321400 eV ; 2.4568 b ; 0.026493 b
1322600 eV ; 2.6130 b ; 0.026540 b
1323900 eV ; 3.1449 b ; 0.027393 b
1324700 eV ; 3.7699 b ; 0.049384 b
1325100 eV ; 4.3026 b ; 0.050948 b
1325500 eV ; 4.8666 b ; 0.052417 b
1326000 eV ; 5.4681 b ; 0.054313 b
1326400 eV ; 6.1994 b ; 0.057062 b
1326800 eV ; 6.6605 b ; 0.058768 b
1327200 eV ; 6.4552 b ; 0.057867 b
1327600 eV ; 5.9550 b ; 0.055498 b
1328100 eV ; 5.1546 b ; 0.052512 b
1328500 eV ; 4.4102 b ; 0.050237 b
1328900 eV ; 3.7837 b ; 0.048483 b
1329300 eV ; 3.3301 b ; 0.047630 b
1329900 eV ; 3.1954 b ; 0.038957 b
1330500 eV ; 3.1756 b ; 0.039716 b
1331100 eV ; 3.1554 b ; 0.039810 b
1331800 eV ; 2.9322 b ; 0.038673 b
1332400 eV ; 2.8873 b ; 0.037820 b
1333000 eV ; 2.9399 b ; 0.037536 b
1333700 eV ; 2.7739 b ; 0.037109 b
1334300 eV ; 2.4330 b ; 0.036493 b
1334900 eV ; 2.1026 b ; 0.036161 b
