eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
1040,186,1117,2510.36,50,1,0,
1041,1668,10790,430.112,3,3,0,
1042,212,1259,182.817,3,1,0,
1043,1471,9355,179.371,5,2,0,
1044,1861,11573,125.702,3,2,0,
1045,355,2198,1349.72,48,2,0,
1046,252,1484,1754.96,52,1,0,
1047,2009,11882,503.28,8,2,0,
1048,66,447,16.1212,1,1,0,
1049,1168,7651,762.278,27,2,0,
1050,311,2091,1009.84,18,2,0,
1051,2002,11154,1530.03,23,2,0,
1052,563,3256,539.726,51,2,0,
1053,291,1854,71.1143,4,1,0,
1054,376,2058,2179.1,68,1,0,
1055,1433,8733,800.577,26,2,0,
1056,1947,12354,52.6959,1,1,0,
1057,404,2363,1656.5,55,2,0,
1058,471,2901,441.32,19,2,0,
1059,863,5627,30.4673,1,1,0,
1060,290,2030,1184.27,35,2,0,
1061,108,773,2358.74,73,1,0,
1062,420,2167,1466.69,126,2,0,
1063,469,2494,1603.02,56,1,0,
1064,1969,12754,311.726,10,2,0,
1065,252,1506,592.99,36,2,0,
1066,1993,12452,779.301,35,3,0,
1067,313,2013,764.301,30,2,0,
1068,243,1462,75.8759,2,1,0,
1069,1782,11370,261.975,29,2,0,
1070,449,2910,1440.77,79,2,0,
1071,1338,8232,191.448,4,2,0,
1072,1807,11962,7.18551,1,2,0,
1073,294,1865,1602.19,40,2,0,
1074,387,2376,1526.18,41,1,0,
1075,2155,12829,177.386,20,4,0,
1076,217,1520,39.3895,2,1,0,
1077,2198,12882,752.71,23,3,0,
1078,517,2804,1216.28,36,2,0,
1079,526,3148,242.237,23,1,0,
1080,473,2980,706.576,37,1,0,
1081,265,1570,47.976,2,1,0,
1082,355,2321,661.112,37,1,0,
1083,1970,12293,511.363,15,2,0,
1084,316,1890,1252.01,29,2,0,
1085,310,1995,1139.57,48,1,0,
1086,2279,12179,1705.44,63,2,0,
1087,373,2179,2234.44,124,1,0,
1088,275,1717,2194.05,68,1,0,
1089,125,787,988.298,17,1,0,
1090,450,2885,406.548,35,2,0,
1091,449,2924,16.2313,2,2,0,
1092,107,724,461.249,8,1,0,
1093,1340,8605,455.558,15,3,0,
1094,64,359,0,0,1,0,
1095,387,2347,1064.24,24,1,0,
1096,2081,12360,1279.01,38,2,0,
1097,1672,10670,2004.24,25,3,0,
1098,175,996,449.38,5,1,0,
1099,1393,9028,238.121,9,2,0,
1100,461,2938,139.539,6,3,0,
1101,1527,10326,0,0,2,0,
1102,1901,11700,859.502,27,2,0,
1103,94,551,0,0,1,0,
1104,360,2154,351.354,7,2,0,
1105,916,5768,6.30219,2,3,0,
1106,619,3272,444.485,32,2,0,
1107,481,2972,416.955,30,3,0,
1108,2542,12693,690.125,9,3,0,
1109,233,1454,0,0,1,0,
1110,779,5264,62.3839,1,1,0,
1111,355,2298,1307.59,37,2,0,
1112,2444,13636,242.287,13,3,0,
1113,1335,8801,16.8465,1,1,0,
1114,311,1981,131.569,3,2,0,
1115,363,2392,910.31,50,2,0,
1116,361,1945,1569.78,88,1,0,
1117,1210,8045,0,0,1,0,
1118,497,2806,1536.11,45,1,0,
1119,119,745,1891.25,37,1,0,
1120,959,6142,0,0,1,0,
1121,333,2011,688.528,23,1,0,
1122,974,5685,165.797,1,1,0,
1123,1534,9430,1526.12,30,2,0,
1124,2235,13083,469.204,24,2,0,
1125,272,1568,1226.79,49,1,0,
1126,501,3137,552.283,38,2,0,
1127,434,2430,1529.78,52,2,0,
1128,2148,12394,1216.98,29,2,0,
1129,317,2041,905.084,29,1,0,
1130,124,839,145.061,5,1,0,
1131,243,1590,222.93,4,2,0,
1132,1062,7285,111.657,1,1,0,
1133,279,1738,158.491,6,1,0,
1134,233,1427,1651.24,65,1,0,
1135,119,673,2474.01,43,1,0,
1136,699,3929,524.923,3,1,0,
1137,783,5317,0,0,1,0,
1138,342,2326,120.95,6,2,0,
1139,226,1511,845.584,11,1,0,
1140,2072,12794,905.638,49,2,0,
1141,297,1869,967.628,24,2,0,
1142,322,2228,587.525,18,2,0,
1143,451,2308,1439.05,51,1,0,
1144,467,3243,0,0,1,0,
1145,274,1689,982.307,26,1,0,
1146,279,1763,179.577,7,2,0,
1147,2188,12427,672.295,29,2,0,
1148,29,263,129.085,3,1,0,
1149,283,1789,497.806,30,1,0,
1150,505,2557,1685.91,79,2,0,
1151,1962,11899,454.318,34,2,0,
1152,388,2027,1161.46,35,1,0,
1153,394,2556,1085.11,24,2,0,
1154,867,5529,0,0,1,0,
1155,107,669,139.637,2,1,0,
1156,1431,9348,240.817,9,2,0,
1157,292,1863,1743.28,53,2,0,
1158,1569,10351,0,0,2,0,
1159,22,173,517.316,6,1,0,
1160,1130,7373,167.434,6,4,0,
1161,2178,12650,373.697,13,2,0,
1162,281,1917,991.208,12,2,0,
1163,284,1517,1468.62,54,1,0,
1164,161,1078,812.994,15,1,0,
1165,325,2087,370.476,8,2,0,
1166,1669,11010,861.064,40,2,0,
1167,96,565,1289.24,43,2,0,
1168,142,874,833.447,19,1,0,
1169,753,4593,976.105,11,3,0,
1170,1917,12009,1108.52,35,3,0,
1171,11,74,723.473,3,0,0,
1172,154,975,858.151,14,1,0,
1173,548,3480,70.6573,3,1,0,
1174,1283,8334,0,0,2,0,
1175,2033,12470,195.25,4,2,0,
1176,1419,8886,20.1946,2,1,0,
1177,227,1550,371.699,8,1,0,
1178,77,440,318.424,10,2,0,
1179,359,2122,880.964,4,2,0,
1180,992,6677,0,0,1,0,
1181,195,1161,2469.12,62,1,0,
1182,1998,11616,599.101,7,2,0,
1183,60,438,62.3879,3,1,0,
1184,378,2352,1071.95,30,1,0,
1185,2090,12346,903.024,46,3,0,
1186,1048,7115,2018.26,49,2,0,
1187,2260,13886,94.1452,2,1,0,
1188,395,2358,2230.48,111,1,0,
1189,532,3286,1002.58,70,1,0,
1190,285,1877,101.653,2,1,0,
1191,1622,10380,461.377,6,2,0,
