numPhotons,numUp,numDown,eDep,
1760,0,0,0,
0,0,0,0,
1162,0,0,0,
5241,263,356,122,
5684,0,0,0,
5536,353,348,122,
2562,77,86,30.2355,
5681,69,69,29.925,
5460,0,0,0,
5240,308,344,122,
1195,35,53,20.663,
2146,88,172,48.597,
5545,0,0,0,
28,3,1,1.0807,
5593,0,0,0,
1693,91,110,36.9321,
5836,353,389,122,
5640,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
5489,0,0,0,
1384,0,0,0,
5508,260,253,93.6749,
5582,411,316,122,
5725,0,0,0,
5106,0,2,0,
5779,0,0,0,
5531,241,449,122,
5575,0,0,0,
5567,333,295,122,
5114,229,398,122,
5487,0,0,0,
1613,0,0,0,
5367,290,356,122,
5599,5,7,0,
5796,343,361,122,
5469,259,419,122,
5725,122,104,39.5442,
569,0,0,0,
0,0,0,0,
1935,0,0,0,
789,41,48,20.2725,
5558,16,10,0,
5720,0,0,0,
1964,0,0,0,
5892,0,0,0,
0,0,0,0,
1968,15,5,0,
0,0,0,0,
5361,53,58,18.6652,
5265,103,92,37.813,
222,0,0,0,
2212,0,0,0,
184,10,12,4.94647,
5259,0,0,0,
4633,132,193,38.2047,
5363,0,0,0,
933,51,43,14.0071,
5658,0,0,0,
1484,0,0,0,
5851,0,0,0,
5140,202,85,58.6243,
5866,346,386,122,
5457,339,312,122,
5581,0,0,0,
5535,8,12,0,
5211,420,182,115.413,
5402,131,154,15.5525,
5141,44,42,5.33539,
5345,0,0,0,
5585,38,47,14.7279,
5768,0,0,0,
1451,1,4,0,
0,0,0,0,
5790,360,385,122,
5843,354,341,122,
446,28,21,10.4689,
5846,0,0,0,
5688,0,0,0,
5303,124,121,42.3224,
5406,0,0,0,
5441,0,0,0,
5561,272,368,122,
1202,0,0,0,
5758,0,0,0,
1146,20,19,7.66131,
1048,0,0,0,
5599,151,233,70.0126,
5632,0,0,0,
1576,0,0,0,
1371,0,0,0,
1327,0,0,0,
5501,329,338,122,
5713,354,330,122,
0,0,0,0,
5449,19,16,8.70723,
5540,470,177,118.651,
5709,0,0,0,
688,0,0,0,
1853,0,0,0,
1951,0,0,0,
5663,360,379,122,
4928,133,72,38.9951,
5669,413,320,122,
5425,0,0,0,
5373,255,393,122,
5712,0,0,0,
5582,0,0,0,
5915,0,0,0,
1233,0,0,0,
1468,73,68,28.529,
139,0,0,0,
5798,0,0,0,
0,0,0,0,
608,48,27,14.4775,
1620,0,0,0,
5227,80,67,29.0494,
1795,0,0,0,
5665,104,145,0,
5558,36,12,0,
5809,0,0,0,
40,5,2,1.21023,
5684,322,385,122,
1837,0,0,0,
5388,462,176,119.842,
5668,55,33,18.7846,
5713,0,0,0,
5657,0,0,0,
5422,114,137,0,
5335,0,0,0,
0,0,0,0,
5465,359,329,117.77,
5496,25,44,0,
5515,0,0,0,
5753,0,0,0,
5606,0,0,0,
779,43,38,14.9415,
0,0,0,0,
1460,0,0,0,
5569,244,410,122,
5287,41,32,0,
1633,4,10,0,
956,57,71,29.9448,
5724,361,330,122,
1127,67,77,29.3323,
5590,0,0,0,
5558,480,202,122,
5445,349,341,122,
4916,90,96,36.8264,
5835,0,0,0,
5530,15,14,0,
298,0,0,0,
1259,0,0,0,
5815,0,0,0,
310,0,0,0,
1641,0,0,0,
1209,72,63,30.8733,
5341,4,5,0,
1744,0,0,0,
1878,0,0,0,
4864,203,140,46.837,
5287,0,0,0,
54,4,3,1.60894,
5655,399,319,122,
0,0,0,0,
5513,0,0,0,
0,0,0,0,
4807,202,232,64.4241,
5489,19,48,0,
5369,284,380,122,
5857,355,346,122,
5605,81,96,31.578,
150,0,0,0,
152,4,12,3.33224,
5366,0,0,0,
4048,46,27,21.1619,
5305,41,24,13.512,
2306,0,0,0,
5803,0,0,0,
5433,0,2,0,
5785,364,347,122,
5453,338,325,122,
5017,270,329,122,
1448,0,0,0,
4804,62,81,28.4094,
5615,316,372,122,
5121,0,0,0,
5718,345,351,122,
5751,0,0,0,
5374,293,351,122,
5383,0,0,0,
1377,0,0,0,
5414,0,0,0,
5554,259,449,122,
0,0,0,0,
5865,359,370,122,
1726,0,0,0,
5700,0,0,0,
5486,117,95,8.84243,
5743,0,0,0,
5543,361,327,122,
712,0,0,0,
0,0,0,0,
5623,7,3,0,
5464,293,422,122,
5111,190,257,86.0796,
147,0,0,0,
1467,0,0,0,
5527,0,0,0,
0,0,0,0,
2154,99,60,29.5642,
1747,105,111,38.9667,
5752,0,0,0,
1444,63,111,30.057,
0,0,0,0,
5493,22,19,9.69641,
411,0,0,0,
0,0,0,0,
5484,0,0,0,
5464,0,0,0,
5698,366,336,122,
5723,0,0,0,
5509,0,0,0,
573,0,0,0,
5644,3,3,0,
5845,0,0,0,
1589,89,90,35.9612,
1757,0,0,0,
251,15,12,6.42432,
712,37,49,15.786,
5645,0,0,0,
5715,496,198,122,
2178,18,22,0,
5469,115,78,32.1686,
1536,0,0,0,
1593,0,0,0,
1266,0,0,0,
1841,111,82,34.8469,
5337,70,70,27.1581,
5571,0,0,0,
5714,347,350,122,
2075,50,37,16.769,
5697,0,0,0,
5140,37,39,19.2611,
206,6,11,8.9673,
5528,320,308,122,
5449,34,30,12.1922,
728,0,0,0,
5598,119,87,0,
5659,371,311,122,
0,0,0,0,
5160,205,137,54.0791,
4371,221,276,98.6565,
1213,73,68,25.5016,
1797,110,100,42.4971,
586,0,0,0,
5390,333,328,122,
4996,394,221,122,
1605,0,0,0,
5365,36,45,20.7607,
1770,58,63,24.3424,
1496,0,0,0,
5529,56,51,7.89762,
3959,0,0,0,
5496,350,312,122,
5564,205,341,97.4033,
5210,70,58,27.4428,
379,0,0,0,
4963,16,8,0,
2021,0,0,0,
5388,40,65,4.59886,
0,0,0,0,
5808,334,345,122,
5425,176,117,0,
1075,0,0,0,
1596,0,0,0,
5667,270,439,122,
5035,337,218,95.1576,
624,0,0,0,
122,1,3,0,
29,3,3,1.24404,
5641,0,0,0,
5718,0,0,0,
4558,327,211,107.342,
5484,207,207,77.3624,
5619,0,0,0,
5626,0,0,0,
906,0,0,0,
5571,0,0,0,
4043,214,251,92.5552,
2037,79,65,27.5473,
1327,72,99,34.6591,
5571,0,0,0,
1676,0,0,0,
181,12,6,7.10306,
1720,0,0,0,
5402,379,304,122,
5606,9,6,0,
566,0,0,0,
5199,269,353,122,
5804,338,335,122,
5567,263,396,122,
5386,0,0,0,
0,0,0,0,
1482,0,0,0,
5871,316,369,122,
5291,198,260,91.169,
5520,0,0,0,
4247,0,0,0,
2564,0,0,0,
5815,421,318,122,
456,0,0,0,
0,0,0,0,
5790,338,354,122,
5887,344,372,122,
1968,0,0,0,
1369,0,0,0,
5641,402,239,122,
5134,33,28,1.20002,
0,0,0,0,
2142,69,63,24.7364,
5356,296,340,114.942,
1615,0,0,0,
5775,510,167,115.39,
0,0,0,0,
0,0,0,0,
5552,13,10,0,
5342,0,0,0,
0,0,0,0,
5583,170,199,17.0936,
4999,0,0,0,
5514,396,289,122,
2148,0,0,0,
5726,334,333,122,
5255,143,126,41.7921,
0,0,0,0,
5764,0,0,0,
1119,0,0,0,
5332,160,109,27.5669,
5208,312,321,122,
5520,115,103,42.2198,
5519,0,0,0,
5592,0,0,0,
5501,0,0,0,
2271,0,0,0,
31,1,2,1.02621,
0,0,0,0,
5252,191,238,50.8179,
5760,0,0,0,
5500,230,418,122,
263,0,0,0,
5410,351,315,122,
