eventID,numReachedDown,numReachedUp,numPE,
790,0,0,0,
791,0,0,0,
792,0,0,0,
793,0,0,0,
794,0,0,0,
795,1438,3015,4453,
796,592,1874,2466,
797,440,306,746,
798,0,0,0,
799,372,329,701,
800,0,0,0,
801,0,0,0,
802,475,275,750,
803,0,0,0,
804,4001,4863,8864,
805,0,0,0,
806,0,0,0,
807,0,0,0,
808,0,0,0,
809,0,0,0,
810,0,0,0,
811,0,0,0,
812,1434,637,2071,
813,2595,4270,6865,
814,64,62,126,
815,1527,2655,4182,
816,0,0,0,
817,0,0,0,
818,0,0,0,
819,147,317,464,
820,1685,1976,3661,
821,0,0,0,
822,0,0,0,
823,0,0,0,
824,1521,542,2063,
825,0,0,0,
826,0,0,0,
827,0,0,0,
828,0,0,0,
829,0,0,0,
830,0,0,0,
831,0,0,0,
832,998,1823,2821,
833,0,0,0,
834,0,0,0,
835,69,46,115,
836,0,0,0,
837,838,382,1220,
838,0,0,0,
839,0,0,0,
840,0,0,0,
841,165,75,240,
842,0,0,0,
843,0,0,0,
844,663,717,1380,
845,2039,2142,4181,
846,585,1206,1791,
847,62,179,241,
848,5513,4201,9714,
849,0,0,0,
850,0,0,0,
851,0,0,0,
852,5252,5625,10877,
853,0,0,0,
854,0,0,0,
855,0,0,0,
856,349,631,980,
857,0,0,0,
858,0,0,0,
859,0,0,0,
860,0,0,0,
861,0,0,0,
862,0,0,0,
863,1863,1558,3421,
864,6959,3050,10009,
865,0,0,0,
866,0,0,0,
867,0,0,0,
868,852,1303,2155,
869,0,0,0,
870,2733,4239,6972,
871,0,0,0,
872,0,0,0,
873,217,254,471,
874,251,163,414,
875,0,0,0,
876,2832,1595,4427,
877,0,0,0,
878,0,0,0,
879,0,0,0,
880,0,0,0,
881,2147,2214,4361,
882,0,0,0,
883,0,0,0,
884,0,0,0,
885,0,0,0,
886,0,0,0,
887,0,0,0,
888,0,0,0,
889,0,0,0,
890,0,0,0,
891,0,0,0,
892,0,0,0,
893,822,2090,2912,
894,0,0,0,
895,0,0,0,
896,6447,4447,10894,
897,0,0,0,
898,0,0,0,
899,6062,3014,9076,
900,1157,1627,2784,
901,0,0,0,
902,0,0,0,
903,0,0,0,
904,5353,3893,9246,
905,3150,4941,8091,
906,0,0,0,
907,0,0,0,
908,1282,1327,2609,
909,5006,1365,6371,
910,0,0,0,
911,0,0,0,
912,0,0,0,
913,0,0,0,
914,0,0,0,
915,0,0,0,
916,53,91,144,
917,0,0,0,
918,0,0,0,
919,0,0,0,
920,0,0,0,
921,0,0,0,
922,0,0,0,
923,0,0,0,
924,0,0,0,
925,0,0,0,
926,0,0,0,
927,0,0,0,
928,1598,5168,6766,
929,0,0,0,
930,0,0,0,
931,0,0,0,
932,0,0,0,
933,0,0,0,
934,2361,1952,4313,
935,0,0,0,
936,1893,1053,2946,
937,4373,2559,6932,
938,0,0,0,
939,0,0,0,
940,0,0,0,
941,0,0,0,
942,6141,3417,9558,
943,0,0,0,
944,0,0,0,
945,0,0,0,
946,0,0,0,
947,0,0,0,
948,0,0,0,
949,2902,1617,4519,
950,0,0,0,
951,0,0,0,
952,0,0,0,
953,1096,3622,4718,
954,0,0,0,
955,2726,1225,3951,
956,0,0,0,
957,0,0,0,
958,0,0,0,
959,0,0,0,
960,0,0,0,
961,0,0,0,
