eventID,ArRecoil,gammas,inelasticRecoilTransfer,
17720,0.495,4.67091,0.0784821,
17721,0.735152,4.42189,0.142928,
17722,2.00399,2.89254,0.342722,
17723,1.67811,3.51123,0.110346,
17724,0.462815,4.67195,0.164849,
17725,0.464677,4.58497,0.211914,
17726,1.26407,3.91684,0.0585839,
17727,0.53668,4.54096,0.211901,
17728,0.476446,4.6834,0.0891868,
17729,2.44455,2.51794,0.283057,
17730,0.265432,4.85996,0.119139,
17731,1.96958,2.92166,0.346016,
17732,1.47165,3.57851,0.19507,
17733,2.44721,2.52403,0.26538,
17734,0.947855,3.9931,0.358242,
17735,0.788275,4.33122,0.120852,
17736,1.06655,3.98646,0.187417,
17737,1.14471,3.91586,0.176746,
17738,0.327901,4.81699,0.155412,
17739,2.54207,2.52328,0.183389,
17740,0.159604,5.03274,0.0972146,
17741,1.97236,3.20463,0.122975,
17742,1.59331,3.58045,0.0664475,
17743,1.19839,3.92485,0.116192,
17744,2.05644,2.91645,0.327085,
17745,2.06483,3.20793,0.0264745,
17746,0.677313,4.41722,0.205431,
17747,0.277963,4.85298,0.115495,
17748,0.582608,4.35668,0.317064,
17749,1.54605,3.5796,0.115375,
17750,1.22259,3.91268,0.113086,
17751,0.54896,4.35587,0.342966,
17752,0.919445,3.98201,0.33639,
17753,0.534293,4.35774,0.353824,
17754,0,4.96739,0.278035,
17755,0.373028,4.37973,0.484024,
17756,0.754508,4.42683,0.0665122,
17757,0.838572,4.35259,0.108842,
17758,1.5014,3.51595,0.282649,
17759,0.500011,4.66578,0.12691,
17760,1.10915,3.98661,0.188361,
17761,1.94907,2.92166,0.373494,
17762,0.874426,4.2217,0.203846,
17763,0.510605,4.35013,0.385867,
17764,1.24578,3.9186,0.0760701,
17765,1.91024,2.9228,0.414875,
17766,0.3251,4.74728,0.191932,
17767,0.488868,4.63417,0.176232,
17768,0.2836,4.66619,0.339504,
17769,0.244485,4.67035,0.367044,
17770,1.64842,3.51869,0.0741906,
17771,1.48375,3.50896,0.247015,
17772,2.49947,2.5192,0.265755,
17773,0.717131,4.35861,0.224249,
17774,0.863038,4.30469,0.10598,
17775,2.97221,2.11996,0.156393,
17776,0.850373,4.33135,0.111039,
17777,0.734365,4.356,0.157158,
17778,1.28691,3.58322,0.369675,
17779,0.283081,4.65774,0.352171,
17780,1.40634,3.68614,0.155839,
17781,1.10121,4.0477,0.0964973,
17782,0.34868,4.7497,0.147885,
17783,1.10489,3.98221,0.160926,
17784,0.699582,4.49132,0.0607917,
17785,1.15787,4.08879,0.0488598,
17786,1.49417,3.50905,0.236456,
17787,2.23615,2.89689,0.105109,
17788,2.02799,3.2078,0.0537774,
17789,1.60503,3.58291,0.0599406,
17790,0.796497,3.98973,0.45896,
17791,1.46812,3.51339,0.263344,
17792,0.96471,3.98486,0.28868,
17793,1.16673,3.94858,0.157709,
17794,1.63257,3.50597,0.0999979,
17795,0.903602,3.97685,0.368323,
17796,1.96613,3.20375,0.0699818,
17797,1.29002,3.91696,0.0929901,
17798,0.754599,4.33536,0.209828,
17799,0.732556,3.97988,0.432167,
17800,2.27608,2.91933,0.103382,
17801,1.79354,3.21048,0.235977,
17802,0.523564,4.55755,0.164927,
17803,0.583468,4.35861,0.298068,
17804,1.09552,3.93445,0.208323,
17805,1.87215,2.92655,0.441118,
17806,1.52922,3.68073,0.0892616,
17807,0.446497,4.66266,0.164645,
17808,1.79101,2.91872,0.567221,
17809,1.38609,3.69003,0.172073,
17810,0.965632,3.98251,0.350364,
17811,0.427629,4.38248,0.435954,
17812,1.48773,3.52604,0.224819,
17813,1.78998,3.21664,0.293275,
17814,1.61894,3.51547,0.112495,
17815,0.921003,3.97911,0.294192,
17816,0.184681,4.85132,0.171221,
17817,0.747126,4.32151,0.179131,
17818,1.57337,3.6806,0.030262,
17819,0.811679,4.23133,0.205314,
17820,2.43785,2.52403,0.277338,
17821,1.03286,3.98236,0.225751,
17822,1.96479,3.20793,0.0652125,
17823,0.417089,4.38042,0.441729,
17824,1.88669,2.92391,0.428867,
17825,0.873444,3.98124,0.43843,
17826,1.21962,3.57426,0.454718,
17827,0.265638,4.86124,0.112306,
17828,0.922167,3.98546,0.328759,
17829,0.607531,4.5722,0.0799866,
17830,1.75527,3.21548,0.268417,
17831,0.655084,4.47607,0.168774,
17832,0.265175,4.67699,0.304817,
17833,0.830153,4.22117,0.191641,
17834,1.07384,3.98404,0.178003,
17835,0.415234,4.74183,0.112471,
17836,0.835055,4.22828,0.236549,
17837,1.30007,3.57487,0.413855,
17838,1.36232,3.67976,0.195901,
17839,1.59172,3.51053,0.197738,
17840,2.59097,2.51944,0.129264,
17841,0.618811,4.38106,0.234954,
17842,1.0334,4.17738,0.0510854,
17843,0.789241,4.31376,0.141152,
17844,2.49992,2.52403,0.211779,
17845,1.38533,3.58156,0.296592,
17846,1.62543,3.52026,0.132332,
17847,0.375442,4.66871,0.193774,
17848,0.359439,4.79917,0.134992,
17849,1.43491,3.68073,0.124269,
17850,1.52569,3.51104,0.209818,
17851,1.13306,3.98365,0.182012,
17852,1.53323,3.67946,0.0319519,
