eventID,ExtScatter,CryoScatter,innerLayerScatter,outerCellScatterAngle,CryoScatterAngle,outerCellEDep,CryoEDep,innerLayerEDep,numElasticSensitive,numInelasticSensitive,
256,0,0,0,0,0,0,0,0,0,0,
257,0,1,0,0,2.19934,0,0,0,0,0,
258,1,0,0,1.58847,0,0,0,0,0,0,
259,0,0,0,0,0,0,0,0,0,0,
260,0,1,0,0,2.17529,0,0,0,0,0,
261,6,0,0,0.456354,0,0,0,0,0,0,
262,3,0,0,2.39869,0,0,0,0,0,0,
263,0,0,0,0,0,0,0,0,1,0,
264,1,0,0,0.832844,0,0,0,0,0,0,
265,7,0,1,2.09416,0,0,0,0,2,0,
266,0,0,0,0,0,0,0,0,1,0,
267,1,0,0,2.65159,0,0,0,0,0,0,
268,2,0,0,0.425958,0,0,0,0,1,0,
269,3,1,0,0.479508,0.127123,0,0,0,0,0,
270,7,0,0,0.814924,0,0,0,0,0,0,
271,3,0,0,0.65341,0,0,0,0,0,0,
272,5,0,0,2.50181,0,0,0,0,0,0,
273,1,0,0,2.38432,0,0,0,0,0,0,
274,0,0,0,0,0,0,0,0,0,0,
275,3,0,0,0.718492,0,0,0,0,0,0,
276,0,0,0,0,0,0,0,0,0,0,
277,3,0,0,2.53438,0,0,0,0,0,1,
278,5,0,1,1.50763,0,0,0,0,1,0,
279,2,0,0,0.558737,0,0,0,0,0,0,
280,6,0,0,2.51945,0,0,0,0,0,0,
281,2,0,0,1.61312,0,0,0,0,0,0,
282,3,0,0,0.753096,0,0,0,0,1,0,
283,2,1,0,0.0999798,0.856697,0,0,0,0,0,
284,4,0,0,0.708763,0,0,0,0,0,0,
285,4,1,0,nan,0.447313,0,0,0,1,0,
286,1,0,0,0.892205,0,0,0,0,0,1,
287,3,1,0,0.933705,2.2494,0,0,0,0,0,
288,10,0,0,0.73933,0,0,0,0,0,0,
289,1,0,0,0.295726,0,0,0,0,0,0,
290,3,0,0,0.437054,0,0,0,0,1,0,
291,2,0,0,0.553915,0,0,0,0,0,0,
292,1,0,0,0,0,0,0,0,0,0,
293,0,0,0,0,0,0,0,0,1,0,
294,5,0,0,1.74468,0,0,0,0,0,0,
295,5,0,0,0.6009,0,0,0,0,0,0,
296,7,0,0,2.12643,0,0,0,0,0,0,
297,4,0,0,2.48601,0,0,0,0,0,0,
298,1,0,0,2.62811,0,0,0,0,0,0,
299,6,0,0,0.798405,0,0,0,0,0,0,
300,3,1,0,1.19655,0.874667,0,0,0,0,0,
301,2,0,0,0,0,0,0,0,0,0,
302,3,0,0,2.43173,0,0,0,0,0,0,
303,8,0,0,0.508933,0,0,0,0,1,0,
304,2,0,0,0.89956,0,0,0,0,0,0,
305,4,1,0,0.6018,2.90497,0,0,0,0,0,
306,1,1,0,0,1.00403,0,0,0,0,0,
307,3,0,0,0.119096,0,0,0,0,0,1,
308,1,3,0,1.76822,1.38329,0,0,0,2,0,
309,2,0,1,nan,0,0,0,0,1,0,
310,5,1,0,nan,1.20375,0,0,0,0,0,
311,2,0,0,0.901571,0,0,0,0,0,0,
312,5,0,0,0.890913,0,0,0,0,0,0,
313,0,1,0,0,2.31911,0,0,0,0,0,
314,2,0,0,0.88755,0,0,0,0,0,0,
315,5,0,0,2.06077,0,0,0,0,0,0,
316,2,0,0,2.67307,0,0,0,0,0,0,
317,0,0,0,0,0,0,0,0,0,0,
318,0,0,0,0,0,0,0,0,0,0,
319,2,0,0,1.49012e-08,0,0,0,0,0,0,
320,0,0,0,0,0,0,0,0,1,1,
321,4,0,0,0.608767,0,0,0,0,0,0,
322,2,0,0,2.67866,0,0,0,0,0,0,
323,1,0,0,2.76039,0,0,0,0,0,0,
324,5,0,0,0.307068,0,0,0,0,0,0,
325,2,0,0,0.398604,0,0,0,0,0,0,
326,4,0,1,0.447928,0,0,0,0,0,0,
327,0,1,0,0,0,0,0,0,0,0,
328,1,0,0,0,0,0,0,0,0,0,
329,2,0,0,0.0940082,0,0,0,0,1,0,
330,1,0,0,0,0,0,0,0,0,0,
331,5,0,0,2.5265,0,0,0,0,1,0,
332,3,0,0,0.747882,0,0,0,0,0,0,
333,4,0,0,1.43109,0,0,0,0,0,0,
334,1,1,0,nan,0.643143,0,0,0,0,0,
335,4,1,0,0.43467,0.610484,0,0,0,0,0,
336,1,2,0,1.93466,2.10734e-08,0,0,0,0,0,
337,3,0,0,0.584195,0,0,0,0,0,0,
338,2,0,0,0.667341,0,0,0,0,0,0,
339,0,0,0,0,0,0,0,0,0,0,
340,1,0,0,0.0994416,0,0,0,0,0,0,
341,1,0,0,2.85384,0,0,0,0,0,1,
342,1,0,0,0.783318,0,0,0,0,0,0,
343,3,0,0,2.0012,0,0,0,0,0,0,
344,1,0,0,1.95695,0,0,0,0,0,0,
345,1,0,0,0.470299,0,0,0,0,1,0,
346,0,0,1,0,0,0,0,0,1,0,
347,7,0,0,0.113886,0,0,0,0,0,0,
348,2,0,1,0.918235,0,0,0,0,3,0,
349,1,0,0,2.71031,0,0,0,0,0,0,
350,5,3,0,0.326127,1.23615,0,0,0,0,0,
351,2,1,1,1.65996,1.53368,0,0,0,0,0,
352,7,0,0,2.34234,0,0,0,0,0,0,
353,5,0,0,0.553406,0,0,0,0,0,0,
354,3,0,0,0.510134,0,0,0,0,0,0,
355,0,0,0,0,0,0,0,0,0,0,
356,2,0,0,1.83572,0,0,0,0,0,0,
357,4,1,0,1.86575,0.0552538,0,0,0,0,0,
358,1,0,0,0,0,0,0,0,0,0,
359,2,0,0,0.473624,0,0,0,0,0,0,
360,1,0,0,0.22458,0,0,0,0,0,1,
361,5,0,0,2.5425,0,0,0,0,0,0,
362,1,0,0,0,0,0,0,0,0,0,
363,0,0,0,0,0,0,0,0,0,0,
364,7,0,0,0.263348,0,0,0,0,0,0,
365,2,0,0,2.19615,0,0,0,0,0,0,
366,1,0,0,2.42228,0,0,0,0,0,0,
367,4,0,0,2.75344,0,0,0,0,0,0,
368,2,0,0,1.49012e-08,0,0,0,0,1,0,
369,2,0,0,1.70419,0,0,0,0,0,0,
370,4,1,0,2.62708,0.336995,0,0,0,0,0,
371,3,0,0,nan,0,0,0,0,0,0,
372,1,0,0,0.310306,0,0,0,0,0,0,
373,3,1,0,1.36686,3.02393,0,0,0,0,0,
374,1,0,0,1.16425,0,0,0,0,0,0,
375,6,3,0,1.25161,1.58898,0,0,0,1,0,
376,2,0,0,0.978734,0,0,0,0,0,0,
377,4,0,0,0.187176,0,0,0,0,0,0,
378,3,1,0,2.57756,0.585084,0,0,0,0,0,
379,3,0,0,1.36616,0,0,0,0,0,0,
380,1,0,0,0,0,0,0,0,1,0,
381,1,0,0,0.163897,0,0,0,0,0,0,
382,1,0,0,0.265719,0,0,0,0,1,0,
383,0,2,0,0,0.145337,0,0,0,0,0,
384,0,0,0,0,0,0,0,0,0,0,
385,0,0,0,0,0,0,0,0,0,1,
386,1,0,0,0,0,0,0,0,0,0,
387,2,0,0,0.424665,0,0,0,0,0,0,
388,3,0,0,0.91531,0,0,0,0,0,0,
389,1,1,0,1.44685,0.226578,0,0,0,0,1,
390,1,0,0,2.55033,0,0,0,0,0,0,
391,0,0,0,0,0,0,0,0,1,1,
392,0,0,0,0,0,0,0,0,0,0,
393,1,0,0,1.75816,0,0,0,0,0,0,
394,3,0,1,1.26009,0,0,0,0,3,0,
395,1,0,0,2.6419,0,0,0,0,0,0,
396,2,0,0,2.84607,0,0,0,0,0,0,
397,1,0,0,2.3814,0,0,0,0,0,0,
398,1,1,0,2.6843,1.01315,0,0,0,0,0,
399,8,1,0,0.230577,1.91382,0,0,0,0,0,
400,0,1,0,0,1.87352,0,0,0,0,0,
401,1,0,0,2.9809,0,0,0,0,0,0,
402,1,0,0,0.30931,0,0,0,0,1,0,
403,0,0,0,0,0,0,0,0,0,0,
404,0,0,0,0,0,0,0,0,0,1,
405,8,0,0,1.65826,0,0,0,0,2,0,
406,1,0,0,nan,0,0,0,0,1,0,
407,2,0,0,0.991866,0,0,0,0,1,0,
408,4,0,0,0.323623,0,0,0,0,2,0,
409,2,0,1,nan,0,0,0,0,1,0,
410,0,0,0,0,0,0,0,0,0,0,
411,7,0,0,1.93223,0,0,0,0,0,0,
412,1,0,0,0.555476,0,0,0,0,0,0,
413,2,0,0,0.639234,0,0,0,0,0,0,
414,2,0,0,0,0,0,0,0,0,0,
415,2,0,0,2.6971,0,0,0,0,0,0,
416,0,0,0,0,0,0,0,0,0,0,
417,3,0,0,1.24576,0,0,0,0,0,0,
418,0,0,0,0,0,0,0,0,1,0,
419,1,0,0,0,0,0,0,0,0,0,
420,0,0,0,0,0,0,0,0,0,0,
421,0,1,0,0,1.49012e-08,0,0,0,1,0,
422,5,0,0,1.03426,0,0,0,0,1,0,
423,2,0,0,0.436704,0,0,0,0,0,0,
424,2,0,0,2.61832,0,0,0,0,0,0,
425,0,3,0,0,0.855094,0,0,0,0,0,
426,1,0,0,2.48562,0,0,0,0,1,1,
427,2,0,0,1.49012e-08,0,0,0,0,0,0,
428,0,0,0,0,0,0,0,0,1,0,
429,1,0,0,2.98463,0,0,0,0,0,0,
430,4,0,0,0.684657,0,0,0,0,4,0,
431,1,0,0,0.825256,0,0,0,0,0,0,
432,1,0,0,2.0182,0,0,0,0,0,0,
433,1,0,0,1.07664,0,0,0,0,0,0,
434,3,0,0,0.720833,0,0,0,0,0,0,
435,2,0,0,0.945001,0,0,0,0,1,0,
436,2,1,0,1.96526,1.49012e-08,0,0,0,0,0,
437,5,0,0,2.55765,0,0,0,0,2,0,
438,0,0,0,0,0,0,0,0,0,0,
439,5,0,0,0.216559,0,0,0,0,0,0,
440,3,0,0,0.311806,0,0,0,0,2,0,
441,3,1,0,2.00968,2.10734e-08,0,0,0,0,0,
442,5,0,0,2.46454,0,0,0,0,0,0,
443,0,0,0,0,0,0,0,0,0,0,
444,1,0,0,0,0,0,0,0,0,0,
445,1,0,0,2.44883,0,0,0,0,0,0,
446,0,0,0,0,0,0,0,0,1,0,
447,5,0,0,0.443839,0,0,0,0,0,0,
448,2,0,0,2.09368,0,0,0,0,0,0,
449,2,0,0,1.39695,0,0,0,0,0,0,
450,1,0,0,2.32891,0,0,0,0,0,0,
451,1,0,0,0.501723,0,0,0,0,0,0,
452,9,1,0,0.349458,0.849297,0,0,0,0,0,
453,1,0,0,2.56744,0,0,0,0,0,0,
454,1,0,0,1.8782,0,0,0,0,0,0,
455,8,0,0,0.598856,0,0,0,0,0,0,
456,2,0,0,0.40946,0,0,0,0,0,0,
457,2,0,0,0,0,0,0,0,1,0,
458,0,0,0,0,0,0,0,0,0,0,
459,5,1,0,1.25342,0.515935,0,0,0,0,0,
460,2,0,0,1.49012e-08,0,0,0,0,0,0,
461,3,0,0,0.215739,0,0,0,0,0,0,
462,0,0,0,0,0,0,0,0,0,0,
463,4,0,0,0.402405,0,0,0,0,0,0,
464,1,0,0,0.459798,0,0,0,0,1,0,
465,2,0,2,0.361718,0,0,0,0,0,0,
466,2,0,0,nan,0,0,0,0,0,0,
467,2,0,0,1.49012e-08,0,0,0,0,0,0,
468,1,0,0,0.172015,0,0,0,0,2,0,
469,2,0,0,0.649037,0,0,0,0,0,0,
470,3,0,0,1.94293,0,0,0,0,0,0,
471,0,0,0,0,0,0,0,0,1,0,
472,0,0,0,0,0,0,0,0,0,0,
473,2,0,0,1.49012e-08,0,0,0,0,0,0,
474,2,0,0,0.716243,0,0,0,0,0,0,
475,1,0,0,2.93735,0,0,0,0,0,0,
476,2,0,0,2.44772,0,0,0,0,3,1,
477,8,0,0,0.134622,0,0,0,0,0,0,
478,0,0,0,0,0,0,0,0,0,0,
479,2,1,0,nan,0.856786,0,0,0,0,0,
480,4,0,0,1.22348,0,0,0,0,0,0,
481,5,1,0,0.940022,2.4664,0,0,0,0,0,
482,1,1,0,1.95026,1.05467,0,0,0,0,0,
483,0,0,0,0,0,0,0,0,0,1,
484,1,1,0,0.953928,1.97038,0,0,0,0,0,
485,0,1,0,0,0,0,0,0,0,0,
486,0,0,0,0,0,0,0,0,0,0,
487,1,0,0,0,0,0,0,0,0,0,
488,0,0,0,0,0,0,0,0,1,0,
489,4,0,0,1.40081,0,0,0,0,1,0,
490,4,0,0,1.70259,0,0,0,0,1,0,
491,2,0,0,1.81017,0,0,0,0,0,0,
492,6,0,0,1.48066,0,0,0,0,0,0,
493,6,0,0,0.522534,0,0,0,0,0,0,
494,2,0,0,0.724837,0,0,0,0,0,0,
495,4,0,0,0.932977,0,0,0,0,0,0,
496,1,0,0,2.37318,0,0,0,0,0,0,
497,1,0,0,0.63032,0,0,0,0,0,0,
