eventID,numReachedDown,numReachedUp,numPE,
618,192,158,350,
620,287,248,535,
621,699,561,1260,
624,868,702,1570,
628,644,542,1186,
630,1012,793,1805,
631,1051,758,1809,
632,1016,852,1868,
633,1261,1003,2264,
635,1241,914,2155,
637,1066,860,1926,
639,1428,1106,2534,
640,242,197,439,
642,495,405,900,
645,1532,1341,2873,
646,1159,1145,2304,
647,812,611,1423,
649,1015,815,1830,
650,221,172,393,
651,729,556,1285,
653,934,708,1642,
654,1034,806,1840,
656,649,505,1154,
658,164,120,284,
660,23,18,41,
661,837,697,1534,
662,510,461,971,
663,1885,1401,3286,
665,1074,835,1909,
668,1781,1462,3243,
670,191,129,320,
673,521,450,971,
674,1224,963,2187,
675,1242,916,2158,
676,450,358,808,
680,886,680,1566,
681,1315,985,2300,
682,1165,852,2017,
683,837,637,1474,
685,438,349,787,
686,327,279,606,
690,1173,871,2044,
691,434,294,728,
692,174,134,308,
693,1160,994,2154,
694,960,704,1664,
695,1053,796,1849,
696,1139,840,1979,
697,746,758,1504,
701,1038,810,1848,
702,1155,897,2052,
703,145,147,292,
705,53,49,102,
706,670,442,1112,
712,1229,906,2135,
714,1,5,6,
716,1145,855,2000,
717,1170,915,2085,
718,1519,1074,2593,
720,1200,867,2067,
721,245,170,415,
722,913,753,1666,
724,1841,1500,3341,
725,1769,1467,3236,
727,500,392,892,
728,214,189,403,
729,940,909,1849,
730,677,537,1214,
732,1262,1020,2282,
736,1515,1042,2557,
737,1094,794,1888,
740,1224,960,2184,
743,254,180,434,
744,355,309,664,
745,1346,1208,2554,
746,1400,1138,2538,
751,1343,1099,2442,
752,1290,920,2210,
755,1892,1429,3321,
756,1862,1452,3314,
759,676,487,1163,
764,266,185,451,
765,74,69,143,
768,1272,993,2265,
769,1218,990,2208,
770,757,525,1282,
771,1045,852,1897,
773,56,51,107,
774,614,496,1110,
775,302,223,525,
776,168,126,294,
777,1250,928,2178,
778,1827,1401,3228,
779,404,269,673,
780,478,314,792,
782,3,1,4,
784,1869,1364,3233,
785,836,717,1553,
786,1216,977,2193,
790,801,643,1444,
792,539,386,925,
793,2030,1404,3434,
794,213,173,386,
795,1244,848,2092,
796,1091,843,1934,
798,906,618,1524,
800,615,498,1113,
801,232,183,415,
802,1024,857,1881,
806,588,482,1070,
809,1358,1077,2435,
810,817,605,1422,
812,335,321,656,
813,1864,1447,3311,
814,849,626,1475,
815,1153,906,2059,
818,425,375,800,
819,1209,945,2154,
821,913,673,1586,
828,262,197,459,
829,1384,1000,2384,
830,1105,912,2017,
831,399,272,671,
832,617,492,1109,
836,783,575,1358,
837,1968,1453,3421,
840,814,707,1521,
847,65,68,133,
852,1133,867,2000,
853,1057,849,1906,
856,1295,967,2262,
860,878,688,1566,
863,1160,869,2029,
864,1174,901,2075,
866,1422,1154,2576,
869,766,549,1315,
872,1019,794,1813,
876,1150,953,2103,
878,708,597,1305,
880,1075,838,1913,
881,323,242,565,
882,1237,950,2187,
886,93,83,176,
888,736,628,1364,
889,305,195,500,
890,205,156,361,
891,272,181,453,
894,257,172,429,
898,1283,953,2236,
901,1760,1396,3156,
903,655,509,1164,
905,216,181,397,
906,115,92,207,
908,965,913,1878,
909,1107,884,1991,
911,75,44,119,
915,637,477,1114,
916,900,703,1603,
918,841,607,1448,
919,93,62,155,
920,496,392,888,
922,718,629,1347,
923,1053,804,1857,
924,114,84,198,
925,1075,903,1978,
926,687,556,1243,
927,257,213,470,
930,1456,1135,2591,
931,1307,1041,2348,
932,1113,887,2000,
934,515,439,954,
935,1229,937,2166,
936,468,376,844,
940,1181,932,2113,
941,254,195,449,
942,985,742,1727,
944,1072,867,1939,
945,1215,970,2185,
947,509,397,906,
949,1355,911,2266,
950,1344,1048,2392,
954,1217,990,2207,
955,89,62,151,
956,2,2,4,
957,1196,896,2092,
958,288,236,524,
960,1873,1437,3310,
961,1056,991,2047,
963,781,621,1402,
964,966,761,1727,
965,1846,1486,3332,
968,450,373,823,
969,1088,755,1843,
970,359,310,669,
971,317,255,572,
972,1830,1584,3414,
973,1355,1012,2367,
975,372,284,656,
976,413,328,741,
977,654,524,1178,
985,35,27,62,
986,1872,1445,3317,
988,264,220,484,
992,1206,933,2139,
993,562,470,1032,
996,1127,890,2017,
997,984,798,1782,
999,1466,1117,2583,
1001,1208,897,2105,
1003,799,591,1390,
1005,844,692,1536,
1008,247,235,482,
1010,1822,1469,3291,
1011,432,380,812,
1015,1535,1235,2770,
1016,1302,969,2271,
1018,1096,821,1917,
1019,648,506,1154,
