process,distance,
compt,16.4011,
compt,16.8366,
compt,25.7796,
compt,12.7201,
compt,25.0415,
compt,32.0017,
compt,18.9881,
compt,29.3505,
compt,25.0076,
compt,14.6434,
compt,33.4897,
compt,10.3362,
compt,20.5404,
compt,19.5594,
compt,10.3954,
compt,11.6973,
compt,25.0269,
compt,56.6092,
compt,19.5201,
compt,23.218,
compt,16.2563,
compt,10.7467,
compt,27.2312,
compt,14.2113,
compt,15.9041,
compt,38.9168,
compt,26.8802,
compt,22.7397,
compt,11.5372,
compt,11.3476,
compt,27.7971,
compt,16.5288,
compt,12.4404,
compt,56.0022,
compt,14.4198,
compt,37.9008,
compt,11.8165,
compt,11.9238,
compt,11.2853,
compt,13.5547,
compt,24.6473,
compt,12.7452,
compt,24.1723,
compt,34.4086,
compt,14.019,
compt,14.1926,
compt,43.7504,
compt,20.8576,
compt,50.6927,
compt,14.7462,
compt,17.7092,
compt,15.3147,
compt,20.3623,
compt,16.2133,
compt,22.5449,
compt,23.0272,
compt,32.0595,
compt,13.3256,
compt,21.7395,
compt,11.8727,
compt,14.3112,
compt,15.4009,
compt,23.1695,
compt,20.1867,
compt,15.1417,
compt,51.9312,
compt,31.1512,
compt,22.8747,
compt,16.0924,
compt,10.9485,
compt,10.8353,
compt,18.39,
compt,13.3245,
compt,22.2097,
compt,20.9524,
compt,30.8447,
compt,25.7453,
compt,20.3384,
compt,20.8307,
compt,23.0397,
compt,13.5203,
compt,20.9744,
compt,12.8779,
compt,26.251,
compt,23.8499,
compt,20.9696,
compt,17.6184,
compt,34.9511,
compt,12.2495,
compt,12.7299,
compt,10.5853,
compt,21.6127,
compt,18.5027,
compt,14.2666,
compt,26.8455,
compt,23.2489,
compt,38.6978,
compt,24.4729,
compt,15.7171,
compt,12.5967,
compt,21.681,
compt,15.6736,
compt,21.9941,
compt,30.5809,
compt,49.9417,
compt,17.6138,
compt,10.5227,
compt,20.357,
compt,20.1584,
compt,13.2454,
compt,24.0394,
compt,22.6194,
compt,31.6285,
compt,10.0524,
compt,39.9134,
compt,12.1558,
compt,27.1062,
compt,14.1921,
compt,15.4324,
compt,13.7982,
compt,18.5859,
compt,22.916,
compt,22.632,
compt,61.3977,
compt,10.9125,
compt,23.5676,
compt,25.3,
compt,27.9373,
compt,10.8547,
compt,24.688,
compt,15.492,
compt,10.5475,
compt,27.0268,
compt,13.6218,
compt,31.8674,
compt,13.1857,
compt,14.3551,
compt,17.944,
compt,29.9658,
compt,28.6498,
compt,43.994,
compt,30.673,
compt,12.3543,
compt,12.3032,
compt,26.5828,
compt,17.2694,
compt,14.3049,
compt,48.3282,
compt,15.1639,
compt,27.859,
compt,12.3845,
compt,13.1738,
compt,39.4317,
compt,14.0739,
compt,10.1569,
compt,13.7727,
compt,10.9395,
compt,22.9164,
compt,17.7392,
compt,16.0383,
compt,15.6817,
compt,22.1078,
compt,48.208,
compt,11.2205,
compt,17.9479,
compt,32.8659,
compt,11.3312,
compt,22.39,
compt,18.6071,
compt,53.8113,
compt,14.2175,
compt,26.8783,
compt,11.8331,
compt,15.5645,
compt,14.9594,
compt,80.6922,
compt,20.4597,
compt,15.5129,
compt,29.77,
compt,23.5132,
compt,27.3842,
compt,21.6177,
compt,26.1316,
compt,16.346,
compt,13.7691,
compt,14.7124,
compt,28.8397,
compt,13.5272,
compt,15.5454,
compt,74.8653,
compt,40.4303,
compt,37.1058,
compt,20.2105,
compt,23.677,
compt,32.0352,
compt,16.3525,
compt,14.6513,
compt,26.2696,
compt,32.1413,
compt,28.5171,
compt,23.833,
compt,27.1771,
compt,24.293,
compt,10.9512,
compt,20.1987,
compt,28.9427,
