eventID,neutronEscapeEnergy,nPrime,
1143,0.24679,1,
1144,0.908833,1,
1145,0.798863,1,
1146,0.715378,1,
1147,1.90584,0,
1148,2.26429,0,
1149,0.460168,1,
1150,0.689113,1,
1151,0.821913,1,
1152,0.892804,1,
1153,1.66883,0,
1154,2.28993,0,
1155,1.78542,0,
1156,0.38892,1,
1157,0.961699,1,
1158,0.920871,1,
1159,0.901512,1,
1160,0.77841,1,
1161,1.9451,0,
1162,0.894655,1,
1163,0.903674,1,
1164,2.23043,0,
1165,0.215847,1,
1166,0.791635,1,
1167,1.0129,1,
1168,1.67687,0,
1169,0.747834,1,
1170,0.524701,1,
1171,0.349758,1,
1172,0.869134,1,
1173,2.33846,0,
1174,0.767069,1,
1175,1.81471,0,
1176,0.580093,1,
1177,0.83807,1,
1178,2.26734,0,
1179,2.25693,0,
1180,2.30957,0,
1181,0.556675,1,
1182,2.34144,0,
1183,2.27158,0,
1184,2.13455,0,
1185,2.27828,0,
1186,0.633316,1,
1187,0.278213,1,
1188,0.279235,1,
1189,0.854804,1,
1190,0.432253,1,
1191,0.851824,1,
1192,0.0609689,1,
1193,0.808457,1,
1194,0.693418,1,
1195,1.4252,0,
1196,0.868123,1,
1197,1.00941,1,
1198,2.26773,0,
1199,2.2048,0,
1200,0.867702,1,
1201,2.33072,0,
1202,0.914463,1,
1203,2.32585,0,
1204,0.746548,1,
1205,0.907896,1,
1206,1.74008,0,
1207,0.749262,1,
1208,0.927882,1,
1209,0.251323,1,
1210,2.23811,0,
1211,0.535374,1,
1212,0.448842,1,
1213,2.36782,0,
1214,2.23967,0,
1215,2.25694,0,
1216,0.0181579,1,
1217,0.796654,1,
1218,2.36127,0,
1219,0.778108,1,
1220,2.36746,0,
1221,1.56057,0,
1222,0.58187,1,
1223,2.31041,0,
1224,0.793306,1,
1225,0.894312,1,
1226,0.543025,1,
1227,0.730116,1,
1228,0.966646,1,
1229,0.735665,1,
1230,2.38078,0,
1231,0.590158,1,
1232,0.133862,1,
1233,0.48626,1,
1234,1.89543,0,
1235,1.5553,0,
1236,0.754081,1,
1237,0.491566,1,
1238,0.875383,1,
1239,0.984533,1,
1240,1.41994,0,
1241,0.714935,1,
1242,2.30097,0,
1243,2.16222,0,
1244,0.633606,1,
1245,0.469648,1,
1246,2.2605,0,
1247,0.765484,1,
1248,1.39533,0,
1249,0.961009,1,
1250,0.981095,0,
1251,1.00079,1,
1252,0.921957,1,
1253,2.05625,0,
1254,0.848747,1,
1255,2.11578,0,
1256,0.715651,1,
1257,2.43331,0,
1258,1.63505,0,
1259,2.2205,0,
1260,2.47907,0,
1261,0.942788,1,
1262,0.727781,1,
1263,2.42991,0,
1264,0.813793,1,
1265,0.691862,1,
1266,0.825303,1,
1267,2.12906,0,
1268,0.543296,1,
1269,0.450136,1,
1270,0.946959,1,
1271,2.11319,0,
1272,0.909137,1,
1273,0.891828,1,
1274,2.26639,0,
1275,2.25711,0,
1276,0.936924,1,
1277,2.12494,0,
1278,0.530974,1,
1279,1.54553,0,
1280,0.875085,1,
1281,0.566994,0,
1282,0.827305,1,
1283,0.826699,1,
1284,0.586511,1,
1285,0.583475,1,
1286,0.450742,1,
1287,0.210898,1,
1288,2.28712,0,
1289,0.728509,1,
1290,2.13043,0,
1291,2.26675,0,
1292,0.880198,1,
1293,1.99442,0,
1294,0.543425,1,
1295,0.923038,1,
1296,0.889928,0,
1297,0.418043,1,
1298,2.26244,0,
1299,0.941505,1,
1300,0.705014,1,
1301,0.944558,0,
1302,2.30854,0,
1303,0.780132,1,
1304,2.26549,0,
1305,0.214882,1,
1306,2.15561,0,
1307,0.932147,1,
1308,0.588052,1,
1309,0.587148,1,
1310,2.44646,0,
1311,0.336114,1,
1312,2.26801,0,
1313,1.21691,0,
1314,0.891757,1,
1315,0.576258,1,
1316,2.29126,0,
1317,2.11127,0,
1318,1.51144,0,
1319,1.85885,0,
1320,2.26777,0,
1321,0.534571,1,
1322,2.32054,0,
1323,2.25299,0,
1324,0.791283,1,
1325,1.95498,0,
1326,0.578911,1,
1327,0.696307,1,
1328,0.807067,1,
1329,0.928467,1,
1330,0.433777,1,
1331,0.890848,1,
1332,0.809146,1,
1333,0.735237,1,
1334,1.09061,0,
1335,0.696344,1,
1336,2.30226,0,
1337,0.82857,1,
1338,0.586344,1,
1339,0.559125,1,
1340,2.20714,0,
1341,1.78674,0,
1342,0.398249,1,
1343,0.693355,1,
1344,1.51532,0,
1345,0.760082,1,
1346,0.962997,1,
1347,1.89936,0,
1348,1.63755,0,
