eventID,neutronEscapeEnergy,
789,0.958268,
790,1.5015,
791,0.477075,
792,0.905642,
793,0.799813,
794,2.34505,
795,2.30189,
796,0.547939,
797,0.724429,
798,0.660191,
799,0.381212,
800,0.824473,
801,0.0717431,
802,0.592562,
803,0.85758,
804,0.0975951,
805,2.17543,
806,0.385446,
807,0.77928,
808,0.668642,
809,2.26149,
810,0.895646,
811,0.232017,
812,2.3105,
813,0.804898,
814,0.935082,
815,2.24232,
816,0.274709,
817,0.325498,
818,2.25442,
819,2.20961,
820,0.90415,
821,0.240907,
822,0.284639,
823,1.95647,
824,0.603688,
825,2.32149,
826,0.853241,
827,0.540982,
828,0.848249,
829,0.865127,
830,0.936297,
831,0.792404,
832,0.879447,
833,0.78981,
834,2.17673,
835,0.958182,
836,0.798926,
837,0.790364,
838,0.0658524,
839,0.228687,
840,2.23671,
841,2.29249,
842,0.767469,
843,0.122278,
844,0.910408,
845,0.720983,
846,0.848477,
847,2.3344,
848,0.528393,
849,2.28132,
850,0.591061,
851,0.160388,
852,0.322673,
853,0.903072,
